Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
3,6.25,93.75,0,0,0,-4.791772293,261.15604,157.84679,157.5945,157.5945,261.15604,261.81852,124.69396,124.07744,124.07744,95.309422,79.72878836,87.51910518,192.2446867,142.7150751,238.2786154,306.7452482,190.7711184,254.821828,227.9639067,0.30236653,2.479069537,2.492955381,2.492955381,2.492955381,2.492955381,2.4959486,2.4959486,2.4959486,2.4959486,2.475599344,2.475599344,2.475599344,2.475599344,2.477664129,2.477664129,2.477664129,2.477664129,2.478869129,2.500108009,2.478869129,2.500108009,2.478869129,2.500108009,2.478869129,2.500108009,2.508198263,2.492955381,2.485079261,2.485079261,2.500398641,2.500398641,2.485079261,2.485079261,2.500398641,2.500398641,2.508198263,2.492955381,2.485079261,2.485079261,2.500398641,2.500398641,2.485079261,2.485079261,2.500398641,2.500398641,2.508198263,2.508198263,2.509929242,2.509929242,2.509929242,2.509929242,2.509929242,2.509929242,2.509929242,2.509929242,2.492955381,2.492955381,2.4959486,2.4959486,2.475599344,2.475599344,2.475599344,2.475599344,2.4959486,2.4959486,2.485079261,2.485079261,2.500398641,2.500398641,2.500398641,2.500398641,2.485079261,2.485079261,2.485079261,2.485079261,2.500398641,2.500398641,2.500398641,2.500398641,2.485079261,2.485079261,2.479069537,2.486426445,2.479069537,2.486426445,2.479069537,2.486426445,2.479069537,2.486426445,2.527236406,2.527236406,2.479069537,2.479069537,2.527236406,2.479069537,2.527236406,2.479069537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,6.25,93.75,0,0,0,-4.791770274,261.13153,157.82263,157.57795,157.57795,261.13153,261.80996,124.69468,124.0767,124.0767,95.30924867,79.7286719,87.51896028,192.2255644,142.7137614,238.2750141,306.7393135,190.7687955,254.817716,227.9605912,0.302349745,2.50819897,2.486425031,2.486425031,2.479069537,2.479069537,2.485079261,2.485079261,2.485079261,2.485079261,2.489465323,2.489465323,2.4959486,2.4959486,2.47907025,2.47907025,2.527235698,2.527235698,2.500398636,2.500398636,2.500398636,2.500398636,2.464942831,2.486300678,2.50992853,2.50992853,2.486425738,2.479070951,2.485078553,2.485078553,2.489465323,2.489465323,2.506563763,2.485380051,2.485079258,2.485079258,2.486425738,2.479070951,2.485078553,2.485078553,2.489465323,2.489465323,2.485380051,2.506563763,2.485079258,2.485079258,2.47907025,2.47907025,2.489466029,2.489466029,2.485079261,2.485079261,2.485079261,2.485079261,2.495949308,2.495949308,2.527236406,2.527236406,2.464943536,2.486301377,2.500398636,2.500398636,2.500398636,2.500398636,2.509929242,2.509929242,2.500398641,2.500398641,2.50039935,2.50039935,2.475599344,2.475599344,2.509929242,2.509929242,2.500398641,2.500398641,2.50039935,2.50039935,2.475599344,2.475599344,2.509929242,2.509929242,2.477618016,2.492999805,2.492955381,2.508198263,2.477618016,2.492999805,2.492955381,2.508198263,2.477618723,2.477618723,2.493000507,2.493000507,2.492956092,2.50819897,2.492956092,2.50819897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
5,12.5,87.5,0,0,0,-4.696235316,252.85726,155.98462,154.35543,156.01816,250.85438,252.90597,120.58416,120.58668,120.3117,91.64713467,75.46745064,83.55729265,187.7037811,133.6066935,227.7947222,297.7663241,180.4776329,244.5063386,218.2820846,0.306182128,2.480071661,2.512137405,2.512137405,2.512136701,2.512136701,2.512131776,2.512131776,2.512131776,2.512131776,2.499628128,2.499628128,2.499627421,2.499627421,2.480071661,2.480071661,2.480070948,2.480070948,2.480065959,2.480065959,2.480065959,2.480065959,2.48904415,2.510257114,2.499627421,2.499627421,2.512136701,2.480070948,2.499628128,2.499628128,2.512131776,2.512131776,2.490778425,2.469398137,2.499627421,2.499627421,2.512136701,2.480070948,2.499628128,2.499628128,2.512131776,2.512131776,2.469398137,2.490778425,2.499627421,2.499627421,2.512137405,2.512137405,2.499627421,2.499627421,2.512131776,2.512131776,2.512131776,2.512131776,2.499628128,2.499628128,2.480071661,2.480071661,2.51025641,2.48904344,2.480065959,2.480065959,2.480065959,2.480065959,2.499628128,2.499628128,2.499627421,2.499627421,2.499628128,2.499628128,2.512131776,2.512131776,2.480065959,2.480065959,2.499627421,2.499627421,2.499628128,2.499628128,2.512131776,2.512131776,2.480065959,2.480065959,2.512137405,2.480117022,2.512136701,2.480070948,2.512137405,2.480117022,2.512136701,2.480070948,2.512136701,2.512136701,2.480116309,2.480116309,2.512137405,2.480071661,2.512137405,2.480071661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1
6,12.5,87.5,0,0,0,-4.698354588,253.24904,157.55767,153.84002,155.62248,250.6408,255.22105,121.71031,120.57296,118.50767,91.63090267,75.66168442,83.64629355,188.1279144,134.290952,228.122401,297.3851438,181.0705567,244.6989704,218.5482412,0.306383295,2.53715645,2.476817075,2.476817075,2.462077224,2.462077224,2.49210711,2.49210711,2.49210711,2.49210711,2.486960203,2.486960203,2.501278559,2.501278559,2.482973318,2.482973318,2.525678953,2.525678953,2.50188121,2.50188121,2.50188121,2.50188121,2.479605226,2.479605226,2.509184462,2.509184462,2.493975336,2.507933802,2.48418998,2.48418998,2.49210711,2.49210711,2.50188121,2.50188121,2.486742333,2.507984815,2.493975336,2.507933802,2.48418998,2.48418998,2.49210711,2.49210711,2.50188121,2.50188121,2.497341113,2.497341113,2.48184665,2.48184665,2.501278559,2.501278559,2.456543105,2.478044477,2.467271616,2.467271616,2.509592433,2.509592433,2.53715645,2.53715645,2.509184462,2.509184462,2.537633987,2.51664178,2.527115164,2.527115164,2.501200764,2.501200764,2.497341113,2.497341113,2.531371793,2.510327221,2.467271616,2.467271616,2.527115164,2.527115164,2.497341113,2.497341113,2.52082684,2.52082684,2.467271616,2.467271616,2.527115164,2.527115164,2.476817075,2.482973318,2.493975336,2.507933802,2.476817075,2.482973318,2.493975336,2.507933802,2.462122916,2.462077224,2.525723496,2.525678953,2.481891979,2.537200791,2.48184665,2.53715645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0
7,12.5,87.5,0,0,0,-4.696364463,251.8835,155.21302,157.20729,157.20729,251.8835,251.30883,117.80945,119.39062,119.39062,90.34802,74.30514454,82.32658227,188.2590033,131.6039859,224.9400131,294.5807539,177.9927974,241.5491318,215.5581959,0.309165217,2.483875586,2.518389795,2.474913717,2.526146125,2.479949786,2.510991333,2.510991333,2.471863488,2.471863488,2.507563518,2.507563518,2.488730527,2.509892176,2.576219814,2.518389095,2.518389016,2.470835525,2.517269735,2.517269735,2.486250413,2.486250413,2.517269735,2.517269735,2.486249701,2.486249701,2.470836154,2.518388381,2.517269725,2.517269725,2.486250407,2.486250407,2.517269022,2.517269022,2.486249702,2.486249702,2.479951277,2.526146047,2.507562803,2.507562803,2.471864191,2.471864191,2.510991333,2.510991333,2.499289438,2.499289438,2.479949942,2.483632037,2.492810104,2.492810104,2.492810102,2.492810102,2.486384595,2.486384595,2.475771355,2.497042832,2.474913638,2.479951356,2.510991333,2.510991333,2.507562807,2.507562807,2.499289438,2.499289438,2.471864191,2.471864191,2.510991333,2.510991333,2.471864189,2.471864189,2.509892175,2.488730526,2.507563518,2.507563518,2.492810104,2.492810104,2.486384595,2.486384595,2.475771355,2.497042832,2.492810104,2.492810104,2.516919426,2.505436303,2.507756557,2.516919504,2.497659973,2.516919425,2.483921033,2.500683054,2.500682425,2.483875664,2.516918718,2.507713187,2.483921581,2.497660749,2.475432463,2.483875586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
8,18.75,81.25,0,0,0,-4.602962084,244.94589,153.61622,154.47114,153.81049,245.86945,246.57017,117.70895,117.0217,118.93265,89.098504,72.45258762,80.77554581,184.57569,127.1900353,220.3705865,291.5737642,173.1849789,237.2199809,211.4771722,0.30904205,2.538089335,2.498661155,2.485643894,2.498661155,2.485643894,2.504061738,2.504061738,2.5170077,2.5170077,2.510807076,2.510807076,2.510807076,2.510807076,2.501270635,2.486631993,2.501270635,2.486631993,2.491253793,2.491253793,2.498504882,2.498504882,2.473782385,2.473782385,2.473782385,2.473782385,2.494509885,2.499767297,2.502158275,2.502158275,2.494701668,2.494701668,2.491217354,2.491217354,2.50862299,2.487394401,2.529465539,2.527811351,2.478187942,2.478187942,2.509357214,2.509357214,2.51635781,2.51635781,2.522143008,2.522143008,2.494509885,2.529465539,2.489331273,2.489331273,2.477257759,2.498572473,2.512140748,2.512140748,2.489331273,2.489331273,2.499767297,2.527811351,2.526659075,2.526659075,2.499618832,2.520744475,2.500638718,2.500638718,2.526659075,2.526659075,2.502158275,2.502158275,2.487394401,2.50862299,2.494701668,2.494701668,2.491217354,2.491217354,2.478187942,2.478187942,2.522143008,2.522143008,2.509357214,2.509357214,2.51635781,2.51635781,2.513358619,2.456973466,2.513358619,2.456973466,2.529598278,2.480601185,2.529598278,2.480601185,2.475691928,2.503425068,2.52622622,2.538089335,2.475691928,2.52622622,2.503425068,2.538089335,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
9,18.75,81.25,0,0,0,-4.602959498,245.82003,153.57645,153.78417,154.4589,244.91711,246.56494,117.70649,118.93226,117.0283,89.098914,72.45199984,80.77545692,184.5490133,127.1863644,220.3657658,291.5689424,173.1805778,237.2150913,211.4730775,0.309018145,2.485641864,2.526180181,2.526180181,2.475645061,2.475645061,2.497978433,2.497978433,2.497978433,2.497978433,2.510159799,2.510159799,2.487891986,2.487891986,2.456969961,2.456969961,2.513357877,2.513357877,2.502148382,2.502148382,2.502148382,2.502148382,2.49125236,2.49125236,2.504063875,2.504063875,2.538088573,2.480643105,2.491217313,2.491217313,2.526650582,2.526650582,2.473773216,2.473773216,2.516357859,2.516357859,2.538088573,2.480643105,2.491217313,2.491217313,2.526650582,2.526650582,2.473773216,2.473773216,2.516357859,2.516357859,2.503423022,2.503423022,2.50063872,2.50063872,2.522133795,2.522133795,2.522133795,2.522133795,2.512140783,2.512140783,2.529642077,2.529642077,2.487913888,2.509138022,2.467502683,2.48890088,2.467502683,2.48890088,2.506497066,2.52756516,2.494701658,2.494701658,2.509357221,2.509357221,2.489322793,2.489322793,2.510797876,2.510797876,2.494701658,2.494701658,2.509357221,2.509357221,2.489322793,2.489322793,2.510797876,2.510797876,2.499767309,2.501267794,2.494508466,2.498659009,2.499767309,2.501267794,2.494508466,2.498659009,2.527808467,2.527808467,2.486630682,2.486630682,2.529464067,2.485641864,2.529464067,2.485641864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0
10,18.75,81.25,0,0,0,-4.599861606,245.0496,152.43203,152.44547,152.44547,245.0496,244.59013,116.29933,117.69903,117.69903,88.83056867,72.6161296,80.72334913,183.2594744,127.926143,220.1884343,289.8761354,173.619984,236.7423905,211.1649366,0.307954507,2.476719283,2.518613945,2.518613945,2.518613945,2.518613945,2.50085936,2.50085936,2.50085936,2.50085936,2.50085936,2.50085936,2.50085936,2.50085936,2.502123762,2.502123762,2.502123762,2.502123762,2.501179106,2.501179106,2.501179106,2.501179106,2.513731366,2.513731366,2.513731366,2.513731366,2.502123762,2.485569438,2.509337102,2.509337102,2.509337102,2.509337102,2.492764803,2.492764803,2.492764803,2.492764803,2.502123762,2.485569438,2.509337102,2.509337102,2.509337102,2.509337102,2.492764803,2.492764803,2.492764803,2.492764803,2.502123762,2.502123762,2.501179106,2.501179106,2.513731366,2.513731366,2.513731366,2.513731366,2.501179106,2.501179106,2.485569438,2.485569438,2.477737726,2.499049607,2.477737726,2.499049607,2.477737726,2.499049607,2.477737726,2.499049607,2.509337102,2.509337102,2.492764803,2.492764803,2.509337102,2.509337102,2.492764803,2.492764803,2.509337102,2.509337102,2.492764803,2.492764803,2.509337102,2.509337102,2.492764803,2.492764803,2.501749449,2.514934896,2.501749449,2.514934896,2.501749449,2.514934896,2.501749449,2.514934896,2.514934896,2.514934896,2.476719283,2.476719283,2.514934896,2.476719283,2.514934896,2.476719283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,18.75,81.25,0,0,0,-4.604233834,246.04383,154.57406,152.61561,155.42374,242.32096,246.14904,115.27878,116.60884,114.25076,87.35437067,71.24354855,79.29895961,184.4156278,125.5390877,216.9098689,286.3909157,170.7038267,233.3781962,208.072993,0.311952856,2.526867591,2.481131894,2.489322507,2.500367169,2.513303319,2.481103071,2.481103071,2.487714189,2.487714189,2.491569783,2.491569783,2.504577838,2.504577838,2.50587409,2.507817159,2.516035732,2.505973915,2.51786294,2.51786294,2.520353872,2.520353872,2.508501438,2.508501438,2.522243358,2.501108186,2.459360166,2.469400902,2.494434236,2.494434236,2.48992049,2.48992049,2.502939818,2.502939818,2.497387143,2.497387143,2.516386934,2.526791202,2.48761672,2.48761672,2.498895796,2.498895796,2.515057603,2.515057603,2.504396446,2.504396446,2.470238719,2.535422211,2.497716878,2.497716878,2.470533227,2.470533227,2.528671928,2.528671928,2.517897113,2.517897113,2.490661768,2.546209788,2.483458842,2.483458842,2.475627711,2.475627711,2.532642076,2.532642076,2.518918063,2.497754754,2.513343414,2.513343414,2.506167138,2.506167138,2.463947322,2.463947322,2.468864439,2.490273282,2.51781242,2.51781242,2.501640389,2.501640389,2.528618223,2.528618223,2.545917083,2.524980078,2.470856118,2.51286643,2.457586571,2.501107571,2.471430402,2.518740884,2.519953018,2.573666373,2.491018509,2.508150901,2.484697361,2.503757608,2.483631923,2.474228137,2.536302743,2.526867591,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
12,18.75,81.25,0,0,0,-4.604228778,246.04156,154.56518,152.63595,155.43758,242.30962,246.19361,115.27525,116.61736,114.23927,87.353448,71.24396725,79.29870763,184.42469,125.5419917,216.9110209,286.3885558,170.7062717,233.3786861,208.0736965,0.31196146,2.470231698,2.518731277,2.512864059,2.503758183,2.484738073,2.515058271,2.515058271,2.502931316,2.502931316,2.508492263,2.508492263,2.483452541,2.483452541,2.471422762,2.470852628,2.508148041,2.491051526,2.498892963,2.498892963,2.489916931,2.489916931,2.491559898,2.491559898,2.497708408,2.497708408,2.573644832,2.519946327,2.487608971,2.487608971,2.520352617,2.520352617,2.487702194,2.487702194,2.517815393,2.517815393,2.501051368,2.457580268,2.494429327,2.494429327,2.517865821,2.517865821,2.481099514,2.481099514,2.513329935,2.513329935,2.526816828,2.474221527,2.511646445,2.511646445,2.535430217,2.535430217,2.479540238,2.479540238,2.508308222,2.508308222,2.536306463,2.483674391,2.504577133,2.504577133,2.528612607,2.528612607,2.463940919,2.463940919,2.517887906,2.517887906,2.504382324,2.504382324,2.501631203,2.501631203,2.532640782,2.532640782,2.528675543,2.528675543,2.486773124,2.508029041,2.495597555,2.516778945,2.464919395,2.486362146,2.459804853,2.481291803,2.507823496,2.489311765,2.526783976,2.516382087,2.505870835,2.481127632,2.469387101,2.459358863,2.505964538,2.51603708,2.513308616,2.500363474,2.546218344,2.535412245,2.490659997,2.470231698,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
