Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
2,0,93.75,6.25,0,0,-4.745889055,258.80687,151.46272,156.74829,153.86814,260.33274,260.925,107.17822,115.30252,116.31429,88.95803667,77.67599783,83.31701725,189.3581011,145.311872,228.452648,282.2905397,188.3703461,241.8696405,217.9807515,0.308140634,2.467683744,2.527624499,2.602902769,2.450049618,2.527671271,2.482706238,2.482706238,2.559709435,2.559709435,2.559708682,2.559708682,2.48270698,2.48270698,2.527626427,2.60288976,2.450038448,2.52767161,2.482717365,2.482717365,2.5597097,2.5597097,2.559703798,2.559703798,2.482717544,2.482717544,2.527628912,2.527615376,2.537031392,2.537031392,2.4446073,2.4446073,2.444606614,2.444606614,2.537016413,2.537016413,2.602888772,2.602891881,2.598799167,2.598799167,2.598799167,2.598799167,2.598799896,2.598799896,2.598799896,2.598799896,2.450040851,2.527669066,2.559709743,2.559709743,2.482719645,2.482719645,2.559701628,2.559701628,2.482717365,2.482717365,2.450040144,2.52765847,2.559703862,2.559703862,2.482717403,2.482717403,2.559703841,2.559703841,2.48271739,2.48271739,2.504151397,2.504151397,2.504146468,2.504146468,2.504153509,2.504153509,2.504145763,2.504145763,2.433718852,2.455539096,2.433718163,2.455538413,2.526539857,2.5475652,2.526526247,2.547551703,2.467683385,2.467686571,2.493652088,2.493677399,2.680365047,2.680373814,2.467681068,2.46767712,2.467677358,2.680372681,2.467682331,2.680366743,2.493679946,2.493670754,2.46768478,2.467683744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,87.5,12.5,0,0,-4.608032685,245.89492,145.16917,154.5593,153.744,244.38201,245.27455,90.13992,103.17705,103.51229,78.17111933,68.33628689,73.25370311,182.4996022,129.3790072,202.9908251,250.4990168,167.5397955,214.8420679,193.8275613,0.322988143,2.647464223,2.479676068,2.441218277,2.706035504,2.661313014,2.5770427,2.5770427,2.604480244,2.604480244,2.437714919,2.437714919,2.595127271,2.595127271,2.496946073,2.47967766,2.479677482,2.442334273,2.493247386,2.493247386,2.525938977,2.525938977,2.49324601,2.49324601,2.525932081,2.525932081,2.442284597,2.479677974,2.493248112,2.493248112,2.525937565,2.525937565,2.493248118,2.493248118,2.525936964,2.525936964,2.661260197,2.706049569,2.437713595,2.437713595,2.604478839,2.604478839,2.577044836,2.577044836,2.595122211,2.595122211,2.661266774,2.899433871,2.502131796,2.502131796,2.502131193,2.502131193,2.67066761,2.67066761,2.670668602,2.670668602,2.441203388,2.661299372,2.57704862,2.57704862,2.437716061,2.437716061,2.595135347,2.595135347,2.604476022,2.604476022,2.577041243,2.577041243,2.604476022,2.604476022,2.595127897,2.595127897,2.437716061,2.437716061,2.491438655,2.512881766,2.660647033,2.680736994,2.660651073,2.680741004,2.49143334,2.512876497,2.495070373,2.4157589,2.575503437,2.495062217,2.587949483,2.495069037,2.647456713,2.553506052,2.553504716,2.647449729,2.495074904,2.575500686,2.647445723,2.587959842,2.707195909,2.647464223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1
4,0,87.5,12.5,0,0,-4.608112533,243.50388,149.00246,157.16367,152.467,245.50847,242.35737,84.62711,103.83628,101.25958,76.12703333,66.23083256,71.17893294,183.1817756,125.4954018,197.7343932,244.683494,162.868017,209.4220403,189.0503683,0.327993835,2.585874649,2.518805153,2.440748185,2.627956483,2.496657796,2.570399001,2.570399001,2.529741963,2.529741963,2.470348218,2.470348218,2.532616027,2.532616027,2.518812984,2.44073729,2.627958095,2.496670086,2.570403883,2.570403883,2.529746973,2.529746973,2.470341672,2.470341672,2.532617449,2.532617449,2.486106283,2.486102691,2.464715552,2.464715552,2.52974701,2.52974701,2.529751935,2.529751935,2.48873223,2.48873223,2.608565164,2.608557232,2.464709382,2.464709382,2.570393949,2.570393949,2.570398942,2.570398942,2.618004826,2.618004826,2.585872074,2.761528297,2.532626734,2.532626734,2.508028725,2.508028725,2.594213168,2.594213168,2.683060661,2.683060661,2.5858695,2.761553331,2.532616125,2.532616125,2.508036188,2.508036188,2.594205801,2.594205801,2.683078221,2.683078221,2.618007011,2.618007011,2.643747249,2.643747249,2.594211503,2.594211503,2.594206042,2.594206042,2.477936978,2.499566735,2.633600513,2.653961918,2.497321071,2.518784376,2.497326581,2.518789839,2.440750932,2.440746501,2.608555008,2.608554414,2.518791527,2.518805821,2.486106567,2.486106269,2.496628528,2.627951944,2.496634256,2.627946738,2.761485183,2.76150671,2.585884798,2.585874649,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
5,0,81.25,18.75,0,0,-4.474169203,229.04399,139.16379,155.8718,153.79267,225.29685,225.07744,71.19689,94.06514,93.96072,67.217218,56.48704069,61.85212935,175.2305333,105.2518318,172.5711553,219.33316,139.4099076,183.9799963,166.0224246,0.342091423,2.708744767,2.600889557,2.424324651,2.824152806,2.600910235,2.681422405,2.681422405,2.519740998,2.519740998,2.519739898,2.519739898,2.681429121,2.681429121,2.774793903,2.502308929,2.703630709,2.4563734,2.634626182,2.634626182,2.482577892,2.482577892,2.527341349,2.527341349,2.548117645,2.548117645,2.456345043,2.607763383,2.588055282,2.588055282,2.573211012,2.573211012,2.691246335,2.691246335,2.485098968,2.485098968,2.502317837,2.643427485,2.512838941,2.512838941,2.512856612,2.512856612,2.541476826,2.541476826,2.541450529,2.541450529,2.703599685,2.774910964,2.482573052,2.482573052,2.548109063,2.548109063,2.52734996,2.52734996,2.634626948,2.634626948,2.562666699,2.607782432,2.605081494,2.605081494,2.635498279,2.635498279,2.60507295,2.60507295,2.635487654,2.635487654,2.65137024,2.65137024,2.595300725,2.595300725,2.65138024,2.65138024,2.595312563,2.595312563,2.562720506,2.583721791,2.681291121,2.701370759,2.577635031,2.598515779,2.474232213,2.495978154,2.661481429,2.564786379,2.735132022,2.624181914,2.543574956,2.464806092,2.66149612,2.537442164,2.537438746,2.464793054,2.708696028,2.551121058,2.624202958,2.794499435,2.564773423,2.708744767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1
6,0,81.25,18.75,0,0,-4.474225082,229.45048,141.33524,153.97581,153.26804,227.68668,223.25352,72.56479,93.9239,93.98915,67.549674,57.0007133,62.27519365,175.2832067,106.278238,173.9081387,220.7280623,140.6274906,185.343015,167.0430468,0.341168425,2.60087917,2.79450792,2.62419832,2.708759542,2.537486846,2.635490991,2.635490991,2.548102067,2.548102067,2.595295488,2.595295488,2.485081188,2.485081188,2.708743942,2.564775196,2.551139868,2.464865327,2.605075635,2.605075635,2.527332764,2.527332764,2.691258214,2.691258214,2.54146458,2.54146458,2.624193543,2.537436455,2.635502351,2.635502351,2.595283972,2.595283972,2.485086657,2.485086657,2.548091723,2.548091723,2.735134992,2.661477522,2.634630936,2.634630936,2.651380369,2.651380369,2.588048768,2.588048768,2.681421569,2.681421569,2.564777056,2.661529485,2.651374067,2.651374067,2.634620877,2.634620877,2.681421118,2.681421118,2.588050736,2.588050736,2.464808897,2.543624701,2.573194149,2.573194149,2.482575134,2.482575134,2.519723782,2.519723782,2.512848816,2.512848816,2.605076063,2.605076063,2.527332449,2.527332449,2.541449339,2.541449339,2.691285867,2.691285867,2.471703049,2.493470866,2.509021889,2.530468699,2.502112689,2.523618217,2.562710383,2.583711576,2.562671648,2.607753148,2.643434132,2.607747296,2.703635757,2.774845077,2.502310274,2.456329228,2.703603268,2.824183777,2.456345439,2.600893773,2.502321079,2.774860795,2.424325499,2.60087917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0,81.25,18.75,0,0,-4.474169451,228.4056,138.92671,154.9062,153.31447,225.41621,224.03766,71.28492,94.07558,93.95919,67.244744,56.53052982,61.88763691,174.6838033,105.3235102,172.6240986,219.34347,139.4783716,184.0247765,166.0529549,0.341568068,2.60087917,2.79450792,2.62419832,2.708759542,2.537486846,2.635490991,2.635490991,2.548102067,2.548102067,2.595295488,2.595295488,2.485081188,2.485081188,2.708743942,2.564775196,2.551139868,2.464865327,2.605075635,2.605075635,2.527332764,2.527332764,2.691258214,2.691258214,2.54146458,2.54146458,2.624193543,2.537436455,2.635502351,2.635502351,2.595283972,2.595283972,2.485086657,2.485086657,2.548091723,2.548091723,2.735134992,2.661477522,2.634630936,2.634630936,2.651380369,2.651380369,2.588048768,2.588048768,2.681421569,2.681421569,2.564777056,2.661529485,2.651374067,2.651374067,2.634620877,2.634620877,2.681421118,2.681421118,2.588050736,2.588050736,2.464808897,2.543624701,2.573194149,2.573194149,2.482575134,2.482575134,2.519723782,2.519723782,2.512848816,2.512848816,2.605076063,2.605076063,2.527332449,2.527332449,2.541449339,2.541449339,2.691285867,2.691285867,2.471703049,2.493470866,2.509021889,2.530468699,2.502112689,2.523618217,2.562710383,2.583711576,2.562671648,2.607753148,2.643434132,2.607747296,2.703635757,2.774845077,2.502310274,2.456329228,2.703603268,2.824183777,2.456345439,2.600893773,2.502321079,2.774860795,2.424325499,2.60087917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0,81.25,18.75,0,0,-4.472681939,235.66534,147.38558,147.91212,155.09204,222.55759,231.30669,72.84701,88.47421,90.45439,66.29778067,57.59689829,61.94733948,176.7010111,110.0935166,173.9219722,215.584887,143.0731916,184.2803681,166.3970199,0.34305219,2.763829377,2.476115489,2.706902862,2.646448559,2.414372923,2.465561251,2.465561251,2.67662297,2.67662297,2.627916852,2.627916852,2.583681743,2.583681743,2.514702267,2.829777996,2.840744176,2.472553078,2.488824909,2.488824909,2.693368411,2.693368411,2.556908034,2.556908034,2.526478063,2.526478063,2.567264344,2.660350299,2.567472146,2.567472146,2.439801987,2.439801987,2.501765183,2.501765183,2.620176092,2.620176092,2.614888132,2.697107016,2.725927821,2.725927821,2.633971119,2.633971119,2.752145744,2.752145744,2.633058694,2.633058694,2.500560744,2.48183999,2.615662859,2.615662859,2.44495741,2.44495741,2.552601823,2.552601823,2.530586806,2.530586806,2.624931513,2.595063641,2.684273089,2.684273089,2.601293529,2.601293529,2.723918241,2.723918241,2.594000516,2.594000516,2.552029623,2.573274334,2.436102054,2.458348799,2.56387579,2.585023146,2.748946619,2.768680753,2.550424649,2.550424649,2.619385451,2.619385451,2.467085114,2.467085114,2.526441052,2.526441052,2.493245085,2.46679117,2.51808561,2.484716007,2.813782478,2.748908953,2.614726369,2.561794671,2.423447804,2.683933754,2.611123953,2.945953405,2.445361305,2.611405987,2.468648882,2.763829377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,81.25,18.75,0,0,-4.472709639,222.49775,144.95591,153.98383,148.19388,234.98769,231.6747,72.20885,91.67237,88.17976,66.54729733,58.04320354,62.29525044,175.9363756,111.4477069,174.6630188,215.3869018,144.2364305,184.8273356,167.1568777,0.341650258,2.518086618,2.697132618,2.829759854,2.614896719,2.706963228,2.633062951,2.633062951,2.725936492,2.725936492,2.752154827,2.752154827,2.633991268,2.633991268,2.624891969,2.840764038,2.500513645,2.64641841,2.447205739,2.447205739,2.562638444,2.562638444,2.758865538,2.758865538,2.574433212,2.574433212,2.660365995,2.595077067,2.72393369,2.72393369,2.684282162,2.684282162,2.593997991,2.593997991,2.601305445,2.601305445,2.514719377,2.472554411,2.693391359,2.693391359,2.556918708,2.556918708,2.526482045,2.526482045,2.488855943,2.488855943,2.567254423,2.476168026,2.501796217,2.501796217,2.620173599,2.620173599,2.567470613,2.567470613,2.43983089,2.43983089,2.481840654,2.414425155,2.526448213,2.526448213,2.619400028,2.619400028,2.550433975,2.550433975,2.467094764,2.467094764,2.552637925,2.552637925,2.444984955,2.444984955,2.61566025,2.61566025,2.530591284,2.530591284,2.666493936,2.686833901,2.454562088,2.4766432,2.617588261,2.63830529,2.57317841,2.594250109,2.945927765,2.763874679,2.68394143,2.46865607,2.748938656,2.561801057,2.813777259,2.614757038,2.611115659,2.466801944,2.611381228,2.484723495,2.423464766,2.445373202,2.493249004,2.518086618,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0,75,25,0,0,-4.346107386,216.4699,140.84859,151.48784,147.97104,219.39844,217.21355,68.01374,83.24696,86.28098,61.69329733,52.49894053,57.09611893,170.4107589,98.60558405,160.8569576,203.7296068,130.2709865,171.3446211,154.0801714,0.349305122,2.430458535,2.898537447,2.695556757,2.810706676,2.640113499,2.760286677,2.760286677,2.635391134,2.635391134,2.683832166,2.683832166,2.61523842,2.61523842,2.769391288,2.585655179,2.594037104,2.456240058,2.58487513,2.58487513,2.492396992,2.492396992,2.770881426,2.770881426,2.57336768,2.57336768,2.621042488,2.473362004,2.715812776,2.715812776,2.666860799,2.666860799,2.476167095,2.476167095,2.551157289,2.551157289,2.780256186,2.621397632,2.685625692,2.685625692,2.753631398,2.753631398,2.578027231,2.578027231,2.65812279,2.65812279,2.559588749,2.718276795,2.591280553,2.591280553,2.657186782,2.657186782,2.750062176,2.750062176,2.559431264,2.559431264,2.42378732,2.494823911,2.592481963,2.592481963,2.510172155,2.510172155,2.552834941,2.552834941,2.515673028,2.515673028,2.669858217,2.669858217,2.510235583,2.510235583,2.720662051,2.720662051,2.574039208,2.574039208,2.553634279,2.575096956,2.525550657,2.547249972,2.650183497,2.670870433,2.502945289,2.524838889,2.725171501,2.589361334,2.759867081,2.616683044,2.861460136,2.751892374,2.645642686,2.496503861,2.65697625,2.779207032,2.464778221,2.570086697,2.699633066,2.492015983,2.599519218,2.430458535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1
11,0,75,25,0,0,-4.337372877,215.71884,142.37328,149.60388,149.53062,215.35143,215.65498,61.54228,82.97268,81.73788,58.93173267,50.34964727,54.64068997,169.9712011,95.70316093,154.3054722,193.8782228,125.6838051,164.0443897,148.0567845,0.354821696,2.632617187,2.710121811,2.554574786,2.733052103,2.596538177,2.731234386,2.731234386,2.56450886,2.56450886,2.702282986,2.702282986,2.709082079,2.709082079,3.02217509,2.805036117,2.804970815,2.499605041,2.678181186,2.678181186,2.48392083,2.48392083,2.678182853,2.678182853,2.483922751,2.483922751,2.498188459,2.710102339,2.768405406,2.768405406,2.547372673,2.547372673,2.768416254,2.768416254,2.547374632,2.547374632,2.50326316,2.733020531,2.769047002,2.769047002,2.514292413,2.514292413,2.632008144,2.632008144,2.572237774,2.572237774,2.503261974,2.53587346,2.524659227,2.524659227,2.524652175,2.524652175,2.516444056,2.516444056,2.516435084,2.516435084,2.554582116,2.596535793,2.731236692,2.731236692,2.702275184,2.702275184,2.709078612,2.709078612,2.564507261,2.564507261,2.632012034,2.632012034,2.514299065,2.514299065,2.572246938,2.572246938,2.768986613,2.768986613,2.560628187,2.581890918,2.532351454,2.553849621,2.532364638,2.553862694,2.560652777,2.581915305,2.866264816,2.688673127,2.743941669,2.59402481,2.836532144,2.594011821,2.632606089,2.449250518,2.489650145,2.467574607,2.866289711,2.7439582,2.467575174,2.836465861,2.425217938,2.632617187,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1
