Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
1,0,37.5,0,62.5,0,-4.151272172,217.02542,149.32589,149.82069,146.20529,224.31318,221.47855,88.9737,82.22702,92.57839,67.25350733,55.81337558,61.53344146,172.6134322,101.2755537,172.3687518,225.0223138,136.6849403,184.956681,164.9945112,0.340689772,2.63158581,2.804447672,2.752649444,2.741437443,2.690077086,2.769069952,2.769069952,2.729987261,2.729987261,2.71706893,2.71706893,2.69493446,2.69493446,2.726930111,2.674543132,2.661663144,2.612083288,2.677060267,2.677060267,2.649304435,2.649304435,2.755870405,2.755870405,2.660641289,2.660641289,2.707316224,2.639622767,2.757388535,2.757388535,2.772037485,2.772037485,2.663370292,2.663370292,2.699576874,2.699576874,2.773648813,2.693504304,2.703067854,2.703067854,2.754237547,2.754237547,2.635831045,2.635831045,2.693216212,2.671825736,2.649439102,2.703079536,2.685820396,2.685820396,2.734788648,2.734788648,2.784254385,2.76356865,2.650520784,2.650520784,2.559785192,2.623293594,2.721229207,2.721229207,2.636836755,2.636836755,2.691316181,2.669910483,2.612459499,2.612459499,2.674271625,2.674271625,2.618128525,2.618128525,2.707632225,2.707632225,2.663190152,2.663190152,2.692471407,2.692471407,2.658880677,2.680374462,2.748980957,2.748980957,2.703834778,2.703834778,2.799302825,2.718140839,2.69377225,2.602181564,2.741476746,2.659964592,2.766079428,2.68202327,2.7746264,2.713427877,2.671308587,2.615147921,2.652095576,2.556879722,2.731612203,2.63158581,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,1,1,3,3,1,1,3,3,1,1,3,3,3,3,1,1,1,1,1,1,3,3,1,1,3,3,1,1,3,3,1,1,3,3,3,3,3,3,1,1,3,1,3,1,3,1,3,1,1,3,1,3,3,1,3,1
2,0,62.5,0,37.5,0,-4.426442346,241.22104,146.26421,148.63522,153.46994,237.94469,236.15289,90.06694,96.15509,93.38492,73.71800667,64.64075316,69.17937991,179.1174844,122.7960381,192.8489654,238.1323753,159.0949483,204.1399215,183.866901,0.328914058,2.617286171,2.758730069,2.758028942,2.622534755,2.597119075,2.610081635,2.610081635,2.660118496,2.660118496,2.68724983,2.68724983,2.619049613,2.619049613,2.625249675,2.596996846,2.638307428,2.624623324,2.57566981,2.57566981,2.58489231,2.58489231,2.665814677,2.665814677,2.63481097,2.63481097,2.63521783,2.521495893,2.739710624,2.739710624,2.668483303,2.668483303,2.547505264,2.547505264,2.637406905,2.637406905,2.784976795,2.626877592,2.600103903,2.600103903,2.676691458,2.676691458,2.537420542,2.537420542,2.594869906,2.594869906,2.485976835,2.623916099,2.646739184,2.646739184,2.581487718,2.581487718,2.696945223,2.696945223,2.54088229,2.54088229,2.497421137,2.629301417,2.639680705,2.639680705,2.546336913,2.546336913,2.607067784,2.607067784,2.552353592,2.552353592,2.60563565,2.60563565,2.513821885,2.513821885,2.566504072,2.566504072,2.563304534,2.563304534,2.643309196,2.664119781,2.633991337,2.654874961,2.635991222,2.656859128,2.641927705,2.662749087,2.735611879,2.697785581,2.571291727,2.533520151,2.654370665,2.583600632,2.771090948,2.69215212,2.689200652,2.619155134,2.642848635,2.543168981,2.507877316,2.468286638,2.694517034,2.617286171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,1,1,3,3,3,3,3,3,3,1,1,3,1,1,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,3,3,3,1,1,3,3,1,3,3,3,1,1,3,3,1,1,1,3,1,1,1,1,3,3,1,1,3,3,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,1,1,1,3,1,1,1,1,3,1,3,1,1,1,1
3,0,62.5,0,37.5,0,-4.431783454,238.21256,148.33306,154.05579,147.14228,240.23769,237.00937,91.66678,94.01748,98.35554,74.536526,64.94424314,69.74038457,179.39132,122.466228,194.2250341,241.3680536,159.4734638,205.9234058,185.2191477,0.327918887,2.488369043,2.630805977,2.622478152,2.585858015,2.629085129,2.668386709,2.668386709,2.565998484,2.565998484,2.61682441,2.61682441,2.560644554,2.582162124,2.710612914,2.70057204,2.543374362,2.55478297,2.655949999,2.655949999,2.584347763,2.584347763,2.717781881,2.717781881,2.566889828,2.566889828,2.725269056,2.803201479,2.632462965,2.632462965,2.681920843,2.681920843,2.716155959,2.716155959,2.715683346,2.715683346,2.540149422,2.60504377,2.686067964,2.686067964,2.535363111,2.535363111,2.546102476,2.546102476,2.623671774,2.623671774,2.519240029,2.688601501,2.644368889,2.644368889,2.702883348,2.702883348,2.570415792,2.570415792,2.606812524,2.627952099,2.457770549,2.649054247,2.651563836,2.651563836,2.652703047,2.652703047,2.549772792,2.549772792,2.517693829,2.517693829,2.605540991,2.605540991,2.535590473,2.535590473,2.578850787,2.600217699,2.563355455,2.563355455,2.522487715,2.522487715,2.58264587,2.58264587,2.660805446,2.639928961,2.672527651,2.672527651,2.749940713,2.788135508,2.568208699,2.647717966,2.565124207,2.61887339,2.52872933,2.55896431,2.79678777,2.617087814,2.709385575,2.550332131,2.647297329,2.56021835,2.5739645,2.488369043,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,3,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,3,3,1,1,3,3,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3,3,3,1,1,3,3,3,1,3,3,3,1,3,1,3,1,3,1,3,1
4,0,62.5,0,37.5,0,-4.429223179,234.81471,144.39643,156.73662,150.38326,244.15236,232.11913,85.72454,93.04471,96.49338,72.35718533,62.71828414,67.53773474,179.3465356,118.4301972,188.431411,234.6666673,154.4745716,199.8861911,180.0165251,0.332710712,2.766175806,2.618724629,2.734967251,2.581370429,2.704133754,2.580952466,2.580952466,2.677924892,2.677924892,2.690116195,2.690116195,2.645459918,2.645459918,2.653139,2.814730321,2.651818019,2.788013208,2.550844644,2.550844644,2.667476393,2.667476393,2.66935753,2.66935753,2.633358916,2.633358916,2.550111086,2.606611227,2.676599273,2.676599273,2.610102896,2.610102896,2.668938288,2.668938288,2.586939016,2.586939016,2.516539915,2.621334163,2.65119539,2.65119539,2.553521416,2.553521416,2.642437588,2.642437588,2.496112472,2.496112472,2.527921816,2.54123591,2.546659264,2.546659264,2.548152016,2.548152016,2.568452449,2.568452449,2.54673635,2.54673635,2.601522041,2.587698473,2.557951626,2.557951626,2.666074881,2.666074881,2.694637462,2.694637462,2.568247625,2.568247625,2.632236833,2.632236833,2.53164923,2.53164923,2.529305628,2.529305628,2.586781825,2.586781825,2.710265858,2.730493347,2.552609293,2.574075971,2.634787353,2.65558982,2.706210869,2.726468442,2.749144091,2.71944577,2.618987503,2.563071396,2.643318329,2.621147544,2.790195645,2.753183904,2.551843042,2.457092677,2.685706579,2.583679281,2.436521123,2.562100595,2.592867918,2.766175806,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,1,1,3,3,1,1,1,1,3,1,1,3,1,1,3,3,1,1,1,1,3,1,1,3,1,1,3,3,3,3,3,3,1,1,1,1,1,1,3,3,1,1,1,1,3,3,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,3,3,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,1,3,1,3,1,3,1,3,1,1,1,1,1,3,1,3
5,0,62.5,0,37.5,0,-4.433642412,238.39958,148.54982,151.51909,150.02668,240.93763,238.21962,92.47714,94.45883,95.03491,74.22492533,65.08281625,69.65387079,179.7497789,123.4275247,194.2010186,240.090394,160.0669906,205.6327425,185.0580018,0.32841147,2.492348763,2.656285165,2.766100071,2.676605085,2.791858216,2.57934546,2.57934546,2.695386823,2.695386823,2.69821513,2.69821513,2.713839512,2.69333726,2.68437932,2.804970193,2.562415113,2.673413903,2.549352438,2.549352438,2.659757955,2.659757955,2.742156034,2.742156034,2.621396441,2.621396441,2.558608582,2.578049115,2.713582369,2.713582369,2.628170445,2.628170445,2.593102048,2.593102048,2.559187152,2.559187152,2.550638323,2.575822166,2.733562309,2.733562309,2.645599392,2.645599392,2.613207459,2.613207459,2.56839794,2.56839794,2.567692413,2.569123445,2.520685498,2.520685498,2.669897259,2.669897259,2.669740574,2.669740574,2.543316054,2.521427621,2.459599287,2.456265954,2.598486761,2.598486761,2.570370525,2.570370525,2.572834546,2.572834546,2.493114915,2.493114915,2.670965812,2.670965812,2.509791315,2.509791315,2.608735739,2.629897614,2.569244177,2.569244177,2.660118559,2.660118559,2.492609942,2.492609942,2.684205705,2.663475355,2.618468852,2.618468852,2.736364952,2.690661729,2.670673728,2.622781998,2.775490539,2.714300124,2.710346354,2.658922019,2.59435541,2.628755024,2.515268412,2.549850927,2.539040351,2.452944189,2.577551286,2.492348763,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3,1,1,3,3,3,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,3,1
6,0,62.5,0,37.5,0,-4.419222388,237.2005,148.69944,151.33477,151.33477,237.2005,233.15924,88.4484,92.56065,92.56065,71.79335733,62.64432278,67.21884006,178.9220222,118.5108723,188.0385636,233.7506686,154.3594928,199.3792797,179.213712,0.333061623,2.502032291,2.639599916,2.639599916,2.697578752,2.697578752,2.67924201,2.67924201,2.67924201,2.67924201,2.621950937,2.621950937,2.608329997,2.608329997,2.697578752,2.697578752,2.471988738,2.471988738,2.553706506,2.553706506,2.553706506,2.553706506,2.703845322,2.683336249,2.538946045,2.538946045,2.639599209,2.697578024,2.679242707,2.679242707,2.621950937,2.621950937,2.618941279,2.597761983,2.679241981,2.679241981,2.639599209,2.697578024,2.679242707,2.679242707,2.621950937,2.621950937,2.597761983,2.618941279,2.679241981,2.679241981,2.697579437,2.697579437,2.621950225,2.621950225,2.67924201,2.67924201,2.67924201,2.67924201,2.608330705,2.608330705,2.471989446,2.471989446,2.703844595,2.683335516,2.553706506,2.553706506,2.553706506,2.553706506,2.538946734,2.538946734,2.553705821,2.553705821,2.553706514,2.553706514,2.693568539,2.693568539,2.538946045,2.538946045,2.553705821,2.553705821,2.553706514,2.553706514,2.693568539,2.693568539,2.538946045,2.538946045,2.750039388,2.629005146,2.628960941,2.502031584,2.750039388,2.629005146,2.628960941,2.502031584,2.750038681,2.750038681,2.629004406,2.629004406,2.628961614,2.502032291,2.628961614,2.502032291,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,3,3,1,1,3,3,1,1,1,1,1,3,1,3,1
7,0,62.5,0,37.5,0,-4.429199999,239.05509,146.46505,152.33121,148.6808,242.33095,238.28838,91.84027,93.44539,97.71874,74.74737067,65.76786631,70.25761849,179.4031711,125.2147343,195.5789048,240.6579992,161.7706335,206.8485285,186.4356348,0.326800131,2.73059003,2.641829273,2.539585726,2.634187304,2.526746388,2.689935242,2.689935242,2.587964223,2.587964223,2.595190327,2.595190327,2.601274516,2.601274516,2.641809753,2.483819078,2.772117168,2.638008319,2.660655378,2.660655378,2.558369911,2.558369911,2.501560937,2.501560937,2.627213311,2.606078736,2.61388503,2.587479102,2.568337907,2.568337907,2.62662784,2.62662784,2.687054936,2.687054936,2.59500079,2.59500079,2.637816093,2.604677632,2.540219243,2.540219243,2.592842756,2.592842756,2.589103643,2.589103643,2.616592378,2.616592378,2.590489285,2.614559659,2.616102507,2.616102507,2.558395943,2.558395943,2.550878167,2.550878167,2.615586016,2.615586016,2.725170266,2.729426892,2.596571628,2.596571628,2.696259642,2.696259642,2.693047625,2.693047625,2.728736748,2.708394514,2.641765216,2.641765216,2.626098537,2.626098537,2.606540597,2.606540597,2.709455055,2.688966956,2.623661469,2.623661469,2.650964012,2.650964012,2.573818182,2.573818182,2.606195687,2.62732932,2.624031148,2.563478113,2.688416678,2.628635408,2.56124968,2.488447065,2.644651594,2.562172115,2.566597241,2.523155655,2.771052061,2.673260761,2.601766979,2.794158035,2.562941483,2.73059003,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3,1,3,3,3,1,1,1,1,3,3,1,3,1,1,1,1,1,1,3,3,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,3,3,1,1,3,3,1,1,3,3,1,1,1,3,1,1,1,3,3,3,3,3,1,3,1,3
8,0,62.5,0,37.5,0,-4.431920476,236.79701,146.87501,156.69534,147.8198,245.58875,234.44589,90.78798,92.89919,98.62239,74.158012,64.37585844,69.26693522,179.9568833,121.3229602,192.9166049,240.1559097,158.1981743,204.6236744,184.1711277,0.32943032,2.593101484,2.632724807,2.593100913,2.602951101,2.5439288,2.673571945,2.673571945,2.584970056,2.584970056,2.599541738,2.599541738,2.566572149,2.566572149,2.644298759,2.594011929,2.585239869,2.554185225,2.636041168,2.65694549,2.558137983,2.57967367,2.624152701,2.645150978,2.555815804,2.577370893,2.765606394,2.750680398,2.612337729,2.612337729,2.696805559,2.696805559,2.683529597,2.683529597,2.709900663,2.709900663,2.582710705,2.577597749,2.610326196,2.610326196,2.560667996,2.560667996,2.535241562,2.535241562,2.6318816,2.6318816,2.715181562,2.539028714,2.647233467,2.647233467,2.683529615,2.683529615,2.535241562,2.535241562,2.63463079,2.63463079,2.73260774,2.545972976,2.647234184,2.647234184,2.696805559,2.696805559,2.560668002,2.560668002,2.599541738,2.599541738,2.515794575,2.515794575,2.612337729,2.612337729,2.646470743,2.646470743,2.673571945,2.673571945,2.594551375,2.594551375,2.610326903,2.610326903,2.568885294,2.568885294,2.584970056,2.584970056,2.73260774,2.715180863,2.585195608,2.602951101,2.545972832,2.539027842,2.554142033,2.543928944,2.750680398,2.57759716,2.765607095,2.58271085,2.644255494,2.632724807,2.593969828,2.593101484,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,1,1,3,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,3,3,1,3,1,1,3,3,1,1,1,1,1,1,3,3,3,3,1,1,3,3,1,1,1,1,3,3,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,3,1,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1
9,0,62.5,0,37.5,0,-4.430177813,241.05805,146.84379,150.63165,149.55971,243.85813,238.56536,94.41214,96.90329,96.45981,75.98480733,66.8818868,71.43334707,179.7279822,127.1467377,198.5530442,244.2833312,164.2479609,209.9866684,189.2300516,0.324521805,2.556537188,2.612580659,2.572971083,2.663049863,2.61643799,2.586700802,2.586700802,2.521412396,2.521412396,2.620161631,2.620161631,2.657229401,2.657229401,2.671574673,2.638567379,2.705774067,2.675382735,2.699544775,2.699544775,2.643254962,2.643254962,2.634488419,2.634488419,2.683902574,2.683902574,2.556352122,2.633693842,2.573497378,2.573497378,2.600703095,2.600703095,2.667846553,2.667846553,2.549544971,2.549544971,2.530299749,2.575485508,2.656909265,2.656909265,2.561780171,2.561780171,2.617072538,2.617072538,2.583927866,2.583927866,2.604942985,2.572349161,2.580646465,2.580646465,2.617689673,2.617689673,2.601965321,2.601965321,2.627266306,2.627266306,2.665175373,2.620675657,2.56713864,2.56713864,2.624814906,2.624814906,2.603084884,2.603084884,2.600341527,2.600341527,2.698190367,2.698190367,2.667515957,2.667515957,2.608108785,2.608108785,2.664037211,2.664037211,2.647361914,2.668221056,2.577104863,2.59852804,2.551173199,2.572812312,2.602780214,2.623993777,2.540137773,2.676113858,2.660515291,2.807885517,2.560926329,2.685364297,2.556710169,2.694986861,2.564817999,2.569741478,2.548858943,2.568630137,2.68768055,2.662530471,2.578740954,2.556537188,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,3,1,1,1,1,3,3,1,1,3,3,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1
10,0,62.5,0,37.5,0,-4.430328853,231.29898,147.65847,157.5312,144.94418,245.67277,235.99846,91.16221,90.79983,98.33747,73.582326,63.56440121,68.57336361,179.2486567,119.4554687,190.9469866,238.5325037,156.1843218,202.7090197,182.4536076,0.330353347,2.63769593,2.698815156,2.612953691,2.736060681,2.657137197,2.657254986,2.657254986,2.582077916,2.582077916,2.58174296,2.58174296,2.679642183,2.679642183,2.606474927,2.546601754,2.804571352,2.71132615,2.678954161,2.678954161,2.58496147,2.58496147,2.606687532,2.606687532,2.763322285,2.763322285,2.538025923,2.45491329,2.611572427,2.611572427,2.690419752,2.690419752,2.611972149,2.611972149,2.503784314,2.503784314,2.586172888,2.503643553,2.586862957,2.586862957,2.615760358,2.615760358,2.585120136,2.585120136,2.487076992,2.487076992,2.561802751,2.640195608,2.543918262,2.543918262,2.60028433,2.60028433,2.670600948,2.670600948,2.619531787,2.619531787,2.642480114,2.68809941,2.468557797,2.468557797,2.593167667,2.593167667,2.638164923,2.638164923,2.592244908,2.592244908,2.691674587,2.691674587,2.616753844,2.616753844,2.567159404,2.567159404,2.604950172,2.604950172,2.71453683,2.734834309,2.615980568,2.637036752,2.637132878,2.658021504,2.673917559,2.694521036,2.627560894,2.686684101,2.642092878,2.71383502,2.538333969,2.602302534,2.759424071,2.824984676,2.585753741,2.517337135,2.507170396,2.460448309,2.627249218,2.549445687,2.708676388,2.63769593,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,3,3,3,1,3,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,3
