Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
1,6.25,0,93.75,0,0,-3.071759051,161.92739,128.8081,128.50688,128.50688,161.92739,161.49413,38.47622,39.10502,39.10502,29.97238867,25.2901397,27.63126418,139.6658478,47.86809764,81.65118448,106.7686381,64.67572276,87.64852362,77.76546172,0.407200576,2.837997108,2.985202598,2.926166074,2.926166074,2.865952938,2.949130875,2.949130875,2.88921244,2.88921244,2.949130875,2.949130875,2.88921244,2.88921244,2.985203305,2.926166767,2.926166796,2.865953645,2.949131591,2.949131591,2.889213141,2.889213141,2.949130875,2.949130875,2.88921244,2.88921244,2.985203305,2.985204012,2.923946848,2.923946848,2.923946848,2.923946848,2.923947558,2.923947558,2.923947558,2.923947558,2.926166796,2.926167488,2.963085559,2.963085559,2.913826284,2.913826284,2.913826991,2.913826991,2.963086278,2.963086278,2.926166767,2.865953645,2.949131591,2.949131591,2.949130875,2.949130875,2.88921244,2.88921244,2.889213141,2.889213141,2.926167488,2.865954352,2.949131591,2.949131591,2.949131591,2.949131591,2.889213141,2.889213141,2.889213141,2.889213141,2.913826284,2.913826284,2.913826991,2.913826991,2.963085559,2.963085559,2.963086278,2.963086278,2.864609235,2.886094224,2.864609936,2.88609492,2.864609235,2.886094224,2.864609936,2.88609492,2.935655625,2.935656333,2.964692776,2.964693495,2.964692776,2.964693471,2.837995694,2.837996401,2.935656333,2.964693495,2.93565704,2.96469419,2.964693471,2.96469419,2.837996401,2.837997108,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,93.75,0,6.25,0,0,-3.472832246,190.40073,117.25105,119.09391,119.09391,190.40073,188.37327,82.23145,86.4623,86.46231,65.28026933,54.65885834,59.96956384,142.2280522,98.56825524,164.9280708,212.6491841,131.9026253,176.4450454,157.7388296,0.315157386,2.575195216,2.66120627,2.66120627,2.66120627,2.66120627,2.65834379,2.65834379,2.65834379,2.65834379,2.65834379,2.65834379,2.65834379,2.65834379,2.599964419,2.599964419,2.599964419,2.599964419,2.536838775,2.536838775,2.536838775,2.536838775,2.608936148,2.608936148,2.608936148,2.608936148,2.599964419,2.537289134,2.628419417,2.628419417,2.628419417,2.628419417,2.56619132,2.56619132,2.56619132,2.56619132,2.599964419,2.537289134,2.628419417,2.628419417,2.628419417,2.628419417,2.56619132,2.56619132,2.56619132,2.56619132,2.599964419,2.599964419,2.536838775,2.536838775,2.608936148,2.608936148,2.608936148,2.608936148,2.536838775,2.536838775,2.537289134,2.537289134,2.574259884,2.595552128,2.574259884,2.595552128,2.574259884,2.595552128,2.574259884,2.595552128,2.628419417,2.628419417,2.56619132,2.56619132,2.628419417,2.628419417,2.56619132,2.56619132,2.628419417,2.628419417,2.56619132,2.56619132,2.628419417,2.628419417,2.56619132,2.56619132,2.720654152,2.551563128,2.720654152,2.551563128,2.720654152,2.551563128,2.720654152,2.551563128,2.551563128,2.551563128,2.575195216,2.575195216,2.551563128,2.575195216,2.551563128,2.575195216,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,87.5,0,12.5,0,0,-3.453494594,190.36805,116.41525,120.71199,119.84438,190.57716,184.0639,73.00712,76.40577,84.01933,60.55561,51.73720401,56.146407,142.1058167,95.77547722,155.747093,196.8300356,126.3286093,165.8134425,148.8372199,0.325438508,2.679213773,2.679219443,2.599221059,2.578144738,2.528954178,2.610047996,2.610047996,2.560472546,2.560472546,2.641618457,2.641618457,2.603006364,2.603006364,2.64698707,2.5692928,2.773542872,2.665107838,2.719928135,2.719928135,2.610055188,2.610055188,2.590359511,2.590359511,2.65517137,2.65517137,2.679206764,2.646982357,2.65517559,2.65517559,2.672314775,2.672314775,2.691373663,2.691373663,2.665653733,2.644749217,2.59917745,2.569311284,2.603019801,2.603019801,2.556832083,2.556832083,2.577861835,2.577861835,2.602999905,2.602999905,2.578152919,2.528952855,2.641602775,2.641602775,2.620707502,2.599441558,2.56049117,2.56049117,2.603004891,2.603004891,2.773489515,2.665096898,2.590373254,2.590373254,2.730113244,2.709706059,2.610068526,2.610068526,2.655181214,2.655181214,2.590365863,2.590365863,2.579672102,2.601099682,2.577857657,2.577857657,2.691375115,2.691375115,2.641621854,2.641621854,2.641590633,2.641590633,2.556838295,2.556838295,2.672311167,2.672311167,2.665095896,2.773532733,2.569293114,2.646980449,2.528937833,2.578163425,2.599200775,2.679210702,2.665144408,2.528964472,2.773555769,2.578152221,2.569330988,2.647045858,2.599188034,2.679213773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2
4,87.5,0,12.5,0,0,-3.453494818,190.45984,116.40395,120.78174,119.80288,190.44932,184.10675,72.99981,76.40031,84.01262,60.55103733,51.7341439,56.14259062,142.1103389,95.77195014,155.7386369,196.8169936,126.3228329,165.8039537,148.8288315,0.325453901,2.646989634,2.599192703,2.56930495,2.599192703,2.56930495,2.556836726,2.556836726,2.577894883,2.577894883,2.603009756,2.603009756,2.603009756,2.603009756,2.679212331,2.646991574,2.679212331,2.646991574,2.672310729,2.672310729,2.691403583,2.691403583,2.644750586,2.66565526,2.655181126,2.655181126,2.528949269,2.578149866,2.641627452,2.641627452,2.560498735,2.560498735,2.599457611,2.620723597,2.602995812,2.602995812,2.665093825,2.773511887,2.590360606,2.590360606,2.610072902,2.610072902,2.730151545,2.709744482,2.655189319,2.655189319,2.528949269,2.665093825,2.64161303,2.64161303,2.556858812,2.556858812,2.672312172,2.672312172,2.64161303,2.64161303,2.578149866,2.773511887,2.601103202,2.579675477,2.577896972,2.577896972,2.691376712,2.691376712,2.590368066,2.590368066,2.641627452,2.641627452,2.602995812,2.602995812,2.560498735,2.560498735,2.610069161,2.610069161,2.590360606,2.590360606,2.655189319,2.655189319,2.610072902,2.610072902,2.719925791,2.719925791,2.52895271,2.66513588,2.52895271,2.665093668,2.578150691,2.773562356,2.578150691,2.773521794,2.599189211,2.679211047,2.569341615,2.647032135,2.599189211,2.569297829,2.679211047,2.646989634,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
5,81.25,0,18.75,0,0,-3.432310639,186.56243,118.21166,122.62016,122.62019,186.56239,176.55631,68.12555,74.18421,74.18422,55.71407067,46.83794558,51.27600812,141.8427944,85.94292266,143.5446044,184.8397698,114.9037278,153.5205091,137.285209,0.338688541,2.699557172,2.666703201,2.631224094,2.699116393,2.666677011,2.664659967,2.664659967,2.685590354,2.685590354,2.685591864,2.685591864,2.664662255,2.664662255,2.782534132,2.742680451,2.585493238,2.545008523,2.61006217,2.61006217,2.627719216,2.627719216,2.678045907,2.678045907,2.573591546,2.573591546,2.544991423,2.662815832,2.733749842,2.733749842,2.575445039,2.575445039,2.644369663,2.644369663,2.641898683,2.641898683,2.742679133,2.800390209,2.665016274,2.665016274,2.665031859,2.665031859,2.705624877,2.705624877,2.705634375,2.705634375,2.585505291,2.782521429,2.62771169,2.62771169,2.57360436,2.57360436,2.678032281,2.678032281,2.610065767,2.610065767,2.51976875,2.662820759,2.719599565,2.740033193,2.596963655,2.618354507,2.719598809,2.740032442,2.596962207,2.618353071,2.620408019,2.620408019,2.593574872,2.593574872,2.620412947,2.620412947,2.593589205,2.593589205,2.575449837,2.575449837,2.644370264,2.644370264,2.733725663,2.733725663,2.641903038,2.641903038,2.731165114,2.6213752,2.610114263,2.551600306,2.806405133,2.671421867,2.731172682,2.614362089,2.614374653,2.671426677,2.699559075,2.805663236,2.551595243,2.621930731,2.621354207,2.699557172,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0
6,81.25,0,18.75,0,0,-3.422460821,187.44704,121.1718,120.11563,119.43188,179.95646,182.27172,66.82985,70.97578,76.84807,55.52780067,47.33028318,51.42904192,141.2348711,87.85061236,144.0610097,183.1160418,116.3699357,153.5888014,137.5869005,0.337638184,2.606766948,2.764827576,2.648643607,2.839553476,2.739924588,2.774919436,2.774919436,2.672995445,2.672995445,2.676876654,2.676876654,2.791591402,2.791591402,2.696440941,2.645450906,2.598768008,2.562041194,2.595808016,2.595808016,2.541792086,2.541792086,2.683034161,2.683034161,2.629938192,2.629938192,2.673086477,2.644648467,2.732506976,2.732506976,2.761186556,2.761186556,2.648780061,2.648780061,2.648444336,2.648444336,2.583907915,2.568162165,2.681173533,2.681173533,2.636390867,2.636390867,2.536678304,2.536678304,2.603929529,2.603929529,2.834390304,2.697837434,2.542015301,2.542015301,2.778959161,2.778959161,2.645764714,2.645764714,2.619221402,2.619221402,2.565673457,2.50922373,2.689329857,2.689329857,2.603982078,2.603982078,2.557000266,2.557000266,2.620377846,2.620377846,2.631724896,2.631724896,2.610636283,2.610636283,2.721972598,2.721972598,2.582481667,2.582481667,2.672700172,2.693573372,2.643693589,2.664794006,2.703862567,2.724497033,2.555194704,2.577019844,2.892332758,2.682877041,2.787703884,2.560355101,2.73701456,2.518679205,2.83396491,2.57873561,2.777238903,2.5627045,2.664859837,2.536642208,2.612867134,2.570468971,2.653648946,2.606766948,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0
8,81.25,0,18.75,0,0,-3.422460767,187.48871,121.24791,120.14047,119.49413,180.07607,182.28466,66.81935,70.97802,76.8449,55.52624933,47.33099104,51.42862019,141.2904956,87.85822485,144.0668152,183.1175242,116.3772826,153.5937842,137.5917576,0.337696375,2.739932541,2.664852869,2.777242455,2.570467785,2.612859309,2.603993154,2.603993154,2.778944732,2.778944732,2.648439566,2.648439566,2.610634262,2.610634262,2.536638517,2.562700854,2.606755654,2.653639933,2.557002257,2.557002257,2.64576427,2.64576427,2.603932354,2.603932354,2.664789022,2.643688566,2.68287781,2.518687209,2.689306616,2.689306616,2.648783702,2.648783702,2.536684443,2.536684443,2.683031023,2.683031023,2.89231894,2.737008721,2.542025049,2.542025049,2.76118808,2.76118808,2.636378392,2.636378392,2.676867275,2.676867275,2.56035129,2.787718695,2.732498061,2.732498061,2.595802374,2.595802374,2.774919649,2.774919649,2.631726284,2.631726284,2.578741325,2.833939723,2.681174036,2.681174036,2.541792007,2.541792007,2.673000186,2.673000186,2.693560957,2.67268766,2.62037629,2.62037629,2.629951768,2.629951768,2.582475909,2.582475909,2.5551906,2.577015775,2.61921749,2.61921749,2.791579156,2.791579156,2.721980394,2.721980394,2.724499008,2.703864557,2.644642435,2.56815415,2.565676149,2.509226544,2.673075259,2.583911048,2.834386208,2.697839053,2.696425982,2.76482586,2.645446452,2.648632544,2.598775568,2.562033301,2.839537485,2.739932541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,2,2,0,0,2,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0
9,81.25,0,18.75,0,0,-3.432311114,186.53213,118.18584,122.60221,122.60221,186.53213,176.5489,68.09516,74.18437,74.18437,55.70764,46.83439667,51.27101833,141.82152,85.94011001,143.5297144,184.8111883,114.8958652,153.5026965,137.2710717,0.338680956,2.806436593,2.519721275,2.585498936,2.585498936,2.69913825,2.593577257,2.593577257,2.620412925,2.620412925,2.593577257,2.593577257,2.620412925,2.620412925,2.662775534,2.78254988,2.544986511,2.666681735,2.641889548,2.641889548,2.733738312,2.733738312,2.644380678,2.644380678,2.57543864,2.57543864,2.662775534,2.8003564,2.607639896,2.607639896,2.607639896,2.607639896,2.729790186,2.729790186,2.729790186,2.729790186,2.544986511,2.742671238,2.610059398,2.610059398,2.573588796,2.573588796,2.678035288,2.678035288,2.617113956,2.638341384,2.78254988,2.666681735,2.641889548,2.641889548,2.644380678,2.644380678,2.564630439,2.586288671,2.733738312,2.733738312,2.742671238,2.631216458,2.705622887,2.705622887,2.705622887,2.705622887,2.675502043,2.654571788,2.66501525,2.66501525,2.573588796,2.573588796,2.678035288,2.678035288,2.610059398,2.610059398,2.627706292,2.627706292,2.66466745,2.66466745,2.695991509,2.675221564,2.66466745,2.66466745,2.685584725,2.685584725,2.621943459,2.699570046,2.551595979,2.614357403,2.551595979,2.621357869,2.610123519,2.731181689,2.699570046,2.614400434,2.805649801,2.671460445,2.621357869,2.671418333,2.731222879,2.806436593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0
10,75,0,25,0,0,-3.401967298,181.84483,121.38181,124.32085,122.42016,179.87835,169.87114,61.43846,64.92744,67.89118,49.749516,41.50022818,45.62487209,140.8711067,76.13190404,129.1453576,168.1826097,102.5803121,138.4954466,123.5376289,0.353840824,2.669059526,2.807462932,2.692788165,2.745570303,2.637931705,2.786738013,2.786737519,2.681282496,2.681283009,2.800584462,2.800583972,2.689149836,2.689150347,2.639022687,2.590111023,2.713370147,2.670776122,2.62117851,2.621177985,2.565487815,2.565487279,2.599204153,2.599204682,2.650785846,2.650785328,2.874740382,2.665674669,2.611627755,2.611628281,2.716181763,2.716182269,2.623757766,2.623757242,2.687392839,2.68739335,2.785468885,2.604903688,2.660950839,2.660950322,2.705475966,2.705475458,2.613978013,2.613978539,2.748393374,2.748392874,2.701545463,2.636066707,2.647316178,2.647315659,2.706669137,2.70666863,2.605975595,2.605976123,2.573382595,2.573383129,2.779035297,2.680079544,2.688035367,2.688035878,2.700106313,2.700105804,2.641633509,2.641632988,2.769496992,2.769496495,2.712892527,2.71289202,2.69480953,2.69480902,2.743983972,2.743983471,2.69722973,2.69722922,2.653684307,2.674678649,2.624344569,2.645571751,2.620177278,2.641437949,2.570313398,2.591983109,2.818329538,2.541924116,2.905044515,2.691835907,2.870483744,2.573903302,2.751303547,2.5158933,2.600333685,2.640389058,2.756810731,2.809236623,2.739341534,2.803431026,2.532770349,2.669059526,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11,75,0,25,0,0,-3.401504969,181.02842,123.77519,125.16393,125.16393,181.02842,156.69184,59.09721,67.6569,67.6569,48.525244,37.64253114,43.08388757,140.7727533,65.8502809,120.974656,167.7963768,92.25379618,131.6603275,117.286389,0.361139808,2.742102115,2.952920345,2.742122409,2.742122409,2.503424302,2.712241351,2.712241351,2.607259457,2.586283835,2.712241351,2.712241351,2.596749502,2.596749502,2.742121914,2.503425999,2.952945306,2.742103317,2.712248995,2.712248995,2.586279086,2.607254746,2.596746331,2.596746331,2.712243971,2.712243971,2.742121914,2.503425292,2.712241351,2.712241351,2.712241351,2.712241351,2.596749479,2.596749479,2.596749479,2.596749479,2.952945306,2.742102822,2.586280651,2.607256298,2.712248975,2.712248975,2.596744772,2.596744772,2.71224399,2.71224399,2.503425999,2.742103317,2.712248995,2.712248995,2.596746331,2.596746331,2.712243971,2.712243971,2.596744772,2.596744772,2.742102822,2.952972671,2.596745389,2.596745389,2.596745389,2.596745389,2.712250947,2.712250947,2.712250947,2.712250947,2.712248975,2.712248975,2.596744772,2.596744772,2.596746331,2.596746331,2.71224399,2.71224399,2.607255383,2.586279728,2.712250947,2.712250947,2.596745412,2.596745412,2.712250947,2.712250947,2.742120499,2.728177061,2.728176566,2.742113923,2.728217802,2.742149505,2.742158273,2.728235479,2.728177061,2.742113923,2.742116257,2.728194739,2.742108479,2.728194739,2.728194244,2.742102115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,2,2,0,0,2,2,0,0,2,2,2,0,0,2,2,0,0,2,0,2,0,2,0,2,0,2
