Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
1,37.5,0,0,62.5,0,-3.733916274,190.24514,140.62819,139.53962,139.44736,195.02892,191.96844,74.40063,79.55961,80.06694,57.31392467,43.59212262,50.45302364,157.3858711,74.5927712,141.0556885,200.6491726,105.9479801,154.3930945,136.7468104,0.355189447,2.68473908,2.809236781,2.858637999,2.681882766,2.739704507,2.718477731,2.718477731,2.753198522,2.753198522,2.786753592,2.786753592,2.674416454,2.674416454,2.731992878,2.789223303,2.690465367,2.735654101,2.698437966,2.698437966,2.719889379,2.719889379,2.75699393,2.75699393,2.699739241,2.699739241,2.742152336,2.666637723,2.796317619,2.796317619,2.741080123,2.741080123,2.683548095,2.683548095,2.728490287,2.728490287,2.804685398,2.715289359,2.762557364,2.762557364,2.75906504,2.75906504,2.705693914,2.705693914,2.667915323,2.667915323,2.608105011,2.672756788,2.734938951,2.734938951,2.686477964,2.686477964,2.776788878,2.776788878,2.627681359,2.627681359,2.620807825,2.678410886,2.717763612,2.717763612,2.67702316,2.67702316,2.750490144,2.750490144,2.647435721,2.647435721,2.658158371,2.658158371,2.640309975,2.640309975,2.72151315,2.72151315,2.702693145,2.702693145,2.729479718,2.750433353,2.64078751,2.662439252,2.728842731,2.74980122,2.714782161,2.735848366,2.81895569,2.790474259,2.678148389,2.65495901,2.787063903,2.742545743,2.753070561,2.735781951,2.735012079,2.719445664,2.727265598,2.712691824,2.654274855,2.632785201,2.711675911,2.68473908,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3,0,3,3,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2,62.5,0,0,37.5,0,-3.68039292,183.1526,140.00006,130.22989,130.78948,183.01798,188.87474,81.51501,75.16124,74.84166,56.57197467,42.04531662,49.30864564,150.7871311,71.08406061,136.7207703,197.5131884,101.7721122,150.1639192,133.3864448,0.352566502,2.710810341,2.591262419,2.69390852,2.591649685,2.650323502,2.643261508,2.643261508,2.668108261,2.668108261,2.686892108,2.686892108,2.641555531,2.641555531,2.564119404,2.635630025,2.559320002,2.60601471,2.661977786,2.661977786,2.685922071,2.685922071,2.650116373,2.650116373,2.616206096,2.616206096,2.734710765,2.685964893,2.646348822,2.646348822,2.658069919,2.658069919,2.624520312,2.624520312,2.804870999,2.804870999,2.683238189,2.64538117,2.605703182,2.605703182,2.707817606,2.707817606,2.666757507,2.666757507,2.631571134,2.631571134,2.696359104,2.709988926,2.682921838,2.682921838,2.719274219,2.719274219,2.738225262,2.738225262,2.694913152,2.694913152,2.684821975,2.65016884,2.70782809,2.70782809,2.591791092,2.591791092,2.612263512,2.612263512,2.733453758,2.733453758,2.587959307,2.587959307,2.673526949,2.673526949,2.666679768,2.666679768,2.639322806,2.639322806,2.712169333,2.73313867,2.740436211,2.761190889,2.693091842,2.714208571,2.634764813,2.656345256,2.658863935,2.633640969,2.561763984,2.56018466,2.588214215,2.58851799,2.700404387,2.6770304,2.742919399,2.694363609,2.6615317,2.586460199,2.67439631,2.568151459,2.792504126,2.710810341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,3,0,0,3,0,0,3,3,0,0,0,0,3,0,0,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,0,3,3,0,3,0,0,3,3,3,3,0,0,0,3,0,0,3,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0
3,62.5,0,0,37.5,0,-3.681125325,186.74036,132.65128,135.17438,133.81849,187.5268,181.59942,72.02092,75.07873,76.10174,54.92177333,42.20489088,48.5633321,151.0172089,72.69176174,135.99682,191.6230653,102.72616,148.5384173,131.5851704,0.354779055,2.768198155,2.662570785,2.567345291,2.704645231,2.565395648,2.610812166,2.610812166,2.611680109,2.611680109,2.626915218,2.626915218,2.697871966,2.697871966,2.790084554,2.675834104,2.739391962,2.671241571,2.712831106,2.712831106,2.688927242,2.688927242,2.656172694,2.63495713,2.678968286,2.678968286,2.565395648,2.671241571,2.752218716,2.752218716,2.62340667,2.62340667,2.756047919,2.735607032,2.627668443,2.627668443,2.704645231,2.739391962,2.603140911,2.603140911,2.59571281,2.59571281,2.652425754,2.673502699,2.667283632,2.667283632,2.567345291,2.662570785,2.697871966,2.697871966,2.611680109,2.611680109,2.610812166,2.610812166,2.626915218,2.626915218,2.675834104,2.790084554,2.668514367,2.68946523,2.688927242,2.688927242,2.712831106,2.712831106,2.645543655,2.645543655,2.667283632,2.667283632,2.603140911,2.603140911,2.59571281,2.59571281,2.662942833,2.662942833,2.627668443,2.627668443,2.752218716,2.752218716,2.62340667,2.62340667,2.745805525,2.745805525,2.655712304,2.768238795,2.574592186,2.689149255,2.577116429,2.63266498,2.700744115,2.775544039,2.700744115,2.574592186,2.775584571,2.689191089,2.577116429,2.632622248,2.655712304,2.768198155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,3,0,0,3,3,3,0,0,3,3,3,0,0,0,0,0,0,3,0,0,3,3,3,0,0,3,3,3,3,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,3,0,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,3,3,3,3,0,0,0,0,3,3,0,0,3,3,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
4,62.5,0,0,37.5,0,-3.674748536,170.9928,138.46544,138.95189,119.27214,197.73262,194.72221,84.06873,64.03959,85.94671,57.92821667,40.4346249,49.18142078,150.7585078,67.46481973,132.9645732,196.5838835,97.69132557,146.7809032,133.0735555,0.352884416,2.750852138,2.517476946,2.581777396,2.572545365,2.58935531,2.650043878,2.650043878,2.736395111,2.736395111,2.558380419,2.558380419,2.610385893,2.610385893,2.573661382,2.63062216,2.612766492,2.692730346,2.680229733,2.680229733,2.767595667,2.767595667,2.592339514,2.592339514,2.642158733,2.642158733,2.609200916,2.667999765,2.611400355,2.611400355,2.66649445,2.66649445,2.716251967,2.716251967,2.677012844,2.677012844,2.654308516,2.720576408,2.531461884,2.531461884,2.69906761,2.69906761,2.751528139,2.751528139,2.642271745,2.642271745,2.665485512,2.729822307,2.66307777,2.66307777,2.694346426,2.694346426,2.710018843,2.710018843,2.723943456,2.723943456,2.725909999,2.782191647,2.637623226,2.637623226,2.706008233,2.706008233,2.723170924,2.723170924,2.682176161,2.682176161,2.603345917,2.603345917,2.661552916,2.661552916,2.740987355,2.740987355,2.671411887,2.671411887,2.600633036,2.622579472,2.763407502,2.784071106,2.733774827,2.754660724,2.666716631,2.688123601,2.559856429,2.621801543,2.649116553,2.555657384,2.540913374,2.613379144,2.671652708,2.641794904,2.686623601,2.656310921,2.664966712,2.630935147,2.660679909,2.680606423,2.734231926,2.750852138,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,0,3,0,0,3,3,3,3,0,0,0,3,0,0,3,3,3,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0
5,62.5,0,0,37.5,0,-3.681976942,184.21368,138.48598,129.32559,132.57324,182.07785,191.39307,81.43842,76.70994,75.70482,57.25728867,42.84215402,50.04972134,150.9393578,72.63940643,138.8090408,199.3364156,103.6834866,152.2559192,135.2050298,0.350707119,2.67996039,2.547693604,2.586102962,2.646218604,2.698779083,2.649188381,2.649188381,2.728048164,2.728048164,2.620940575,2.620940575,2.644243129,2.644243129,2.540739872,2.577326093,2.554741022,2.592425464,2.621651898,2.621651898,2.674520182,2.674520182,2.59157671,2.59157671,2.686561172,2.686561172,2.648361699,2.635977711,2.596112868,2.596112868,2.648497462,2.648497462,2.668707684,2.668707684,2.637636972,2.637636972,2.688499649,2.680212017,2.603625933,2.603625933,2.667548251,2.667548251,2.687152091,2.687152091,2.723287252,2.723287252,2.75311957,2.781807216,2.705338956,2.705338956,2.681238153,2.681238153,2.698027475,2.698027475,2.737980793,2.737980793,2.656798656,2.692852254,2.676656848,2.676656848,2.646323507,2.646323507,2.64805268,2.64805268,2.754493351,2.754493351,2.687784298,2.687784298,2.790903183,2.790903183,2.722452407,2.722452407,2.595382721,2.595382721,2.616338706,2.638163021,2.747025069,2.767819111,2.730362978,2.751282954,2.60528758,2.627203698,2.556962816,2.525740064,2.648989354,2.62886625,2.626504886,2.571769296,2.636804131,2.602113708,2.615820495,2.699636211,2.585008611,2.647842321,2.772405506,2.727126461,2.745337641,2.67996039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,0,0,0,0,0,0,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,3,0,0,0,3,0,3,3,3,3,3,0,3,0
6,62.5,0,0,37.5,0,-3.676629548,184.76931,133.4966,135.61336,132.49872,187.37071,179.5069,73.08385,77.68572,79.43011,56.04248533,41.81986786,48.9311766,150.5404756,70.7166995,136.0343361,196.5484841,101.2531633,149.4145215,132.4438289,0.353368528,2.59405157,2.701984028,2.572486725,2.697564657,2.670533126,2.676981803,2.676981803,2.684458254,2.684458254,2.673019508,2.673019508,2.623668755,2.644939931,2.822027949,2.707038466,2.679854147,2.549259846,2.654583852,2.654583852,2.634176562,2.634176562,2.685576814,2.685576814,2.62207572,2.62207572,2.572486796,2.707039153,2.758895179,2.758895179,2.606090975,2.606090975,2.72234589,2.72234589,2.63985212,2.63985212,2.701984102,2.822028658,2.639851415,2.639851415,2.606090979,2.606090979,2.72234589,2.72234589,2.758895179,2.758895179,2.670533131,2.697564515,2.673019508,2.673019508,2.684458267,2.684458267,2.676981802,2.676981802,2.644939932,2.623668756,2.549259077,2.679853508,2.685577532,2.685577532,2.634176562,2.634176562,2.654583842,2.654583842,2.622075019,2.622075019,2.646375754,2.646375754,2.576568179,2.576568179,2.680780515,2.701602056,2.634849405,2.634849405,2.576568866,2.576568866,2.646375754,2.646375754,2.701602055,2.680780513,2.634849405,2.634849405,2.726686943,2.710087507,2.668143719,2.594051642,2.742981573,2.688619794,2.633115314,2.633859354,2.742982214,2.726686872,2.688620513,2.710087507,2.633114621,2.633858728,2.66814386,2.59405157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,0,0,3,3,3,3,0,0,3,3,0,0,0,0,3,3,3,3,0,0,3,3,0,0,3,3,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,0,0,3,3,3,3,0,0,0,3,3,0,0,3,3,0,0,3,0,3,3,0,3,0
7,62.5,0,0,37.5,0,-3.682833636,185.35192,136.78354,132.27184,134.36328,183.02203,183.91311,77.00011,76.16477,76.12711,55.782958,41.61691326,48.69993563,151.01382,70.33477895,135.5498932,196.1847028,100.7933155,148.9388578,131.919093,0.354407262,2.739835483,2.631913179,2.679011274,2.699745315,2.727185662,2.604015227,2.604015227,2.660041714,2.660041714,2.687368032,2.687368032,2.684827268,2.684827268,2.689635815,2.727403478,2.611000392,2.709161224,2.62597505,2.62597505,2.752934397,2.752934397,2.675134331,2.675134331,2.682440852,2.682440852,2.583438171,2.620902096,2.702594202,2.702594202,2.611539349,2.611539349,2.666533369,2.666533369,2.633296242,2.633296242,2.638688757,2.698554257,2.604894787,2.604894787,2.656244149,2.656244149,2.705047417,2.705047417,2.602197148,2.602197148,2.640586616,2.679591578,2.64995955,2.64995955,2.687769618,2.687769618,2.68679087,2.68679087,2.657470001,2.657470001,2.583958924,2.636566823,2.660115702,2.660115702,2.611180862,2.611180862,2.655998554,2.655998554,2.659573472,2.659573472,2.721401116,2.721401116,2.623203692,2.623203692,2.612707514,2.612707514,2.591191591,2.591191591,2.738831303,2.759428728,2.715486016,2.73625918,2.751260217,2.771765282,2.665315482,2.686476618,2.636063114,2.641397618,2.584470803,2.671741321,2.587913426,2.670986538,2.784074612,2.807607084,2.65771931,2.616936089,2.609906472,2.583451255,2.599362472,2.560484136,2.808121559,2.739835483,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,3,0,0,3,0,0,3,3,0,0,3,3,3,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,0,3,3,3,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,3,3,3,3,3,0,0,0,0,3,0,0,0,3,0,0,3,0,3,3,0,3,0
8,62.5,0,0,37.5,0,-3.684520664,184.47494,134.47325,135.18649,131.94678,187.40986,185.27772,77.08605,76.65579,78.32932,56.784632,43.04972035,49.91717618,151.15284,73.37567292,139.072512,198.2359763,104.3319497,152.2925225,134.9014404,0.351252723,2.679958571,2.639233699,2.775249529,2.580486433,2.747901765,2.591641331,2.591641331,2.747721823,2.747721823,2.766505186,2.766505186,2.677972667,2.677972667,2.599001773,2.762083021,2.642854616,2.809869756,2.594816007,2.594816007,2.731173161,2.731173161,2.652184833,2.652184833,2.686512394,2.686512394,2.609465164,2.584459414,2.709102819,2.709102819,2.628163097,2.628163097,2.638845337,2.638845337,2.668401064,2.668401064,2.695321909,2.636344759,2.657053644,2.657053644,2.687609405,2.687609405,2.707603692,2.707603692,2.611548058,2.611548058,2.569588687,2.594856248,2.614267707,2.614267707,2.627233974,2.627233974,2.714103337,2.714103337,2.592598826,2.592598826,2.620945948,2.69954398,2.62589712,2.62589712,2.63112441,2.63112441,2.690239043,2.690239043,2.683615981,2.683615981,2.668416187,2.668416187,2.601635594,2.601635594,2.637028868,2.637028868,2.641348086,2.641348086,2.739271497,2.759846995,2.620253103,2.641755746,2.662764695,2.683926772,2.698691084,2.719573618,2.723514545,2.660760971,2.659780149,2.613995729,2.744090323,2.651313201,2.762627843,2.728964713,2.593131625,2.598711862,2.64462206,2.666076352,2.553127934,2.600345401,2.681926956,2.679958571,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9,62.5,0,0,37.5,0,-3.687570483,191.89496,129.19783,133.29456,135.28531,191.54012,181.59294,71.82641,80.79011,76.52459,56.97824333,44.54789591,50.76306962,151.1759356,77.63782618,141.8012786,195.7180678,108.4641777,154.1529905,136.9594298,0.349006579,2.664632178,2.644977577,2.761012604,2.587855364,2.689099541,2.584079471,2.584079471,2.627314455,2.627314455,2.678732863,2.678732863,2.593442521,2.593442521,2.716724638,2.799515787,2.599249765,2.701296258,2.654880988,2.654880988,2.751381465,2.751381465,2.697620218,2.697620218,2.596571626,2.596571626,2.734906547,2.76990632,2.656985041,2.656985041,2.624597314,2.624597314,2.679141311,2.679141311,2.695151909,2.695151909,2.725436516,2.75164132,2.728725165,2.728725165,2.639330309,2.639330309,2.67215035,2.67215035,2.674518762,2.674518762,2.615925954,2.609837105,2.717453289,2.717453289,2.645060623,2.645060623,2.66245228,2.66245228,2.599580349,2.599580349,2.657869611,2.638733166,2.689291811,2.709821903,2.633249659,2.654213267,2.653642856,2.674446617,2.584540669,2.605896154,2.604116167,2.604116167,2.631595652,2.631595652,2.6037016,2.6037016,2.650452869,2.650452869,2.600121024,2.600121024,2.587355339,2.587355339,2.680412341,2.680412341,2.681190938,2.681190938,2.673846086,2.743438385,2.571861388,2.681236538,2.685269535,2.816239195,2.585647495,2.702569399,2.720325781,2.740101897,2.718838448,2.730146052,2.637923026,2.63743209,2.694758367,2.664632178,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62.5,0,0,37.5,0,-3.691680329,191.70918,131.58362,132.14815,128.48556,193.46459,191.84854,79.38964,82.41686,82.20136,61.121904,49.041754,55.081829,151.2729967,86.37264471,153.3763026,206.8693252,119.0345489,165.8501059,147.3598336,0.337644703,2.659599728,2.710028571,2.64946002,2.653611516,2.599363539,2.701140143,2.701140143,2.628977918,2.628977918,2.671507307,2.671507307,2.614804446,2.614804446,2.710029291,2.649460717,2.653612251,2.59936425,2.701140865,2.701140865,2.628978621,2.628978621,2.671507307,2.671507307,2.614804446,2.614804446,2.786059413,2.786060131,2.664365556,2.664365556,2.691909295,2.691909295,2.691910014,2.691910014,2.750083669,2.729615209,2.632649212,2.632649895,2.635188503,2.635188503,2.637772848,2.637772848,2.637773554,2.637773554,2.654413577,2.654413577,2.752192307,2.588719229,2.675665422,2.675665422,2.748655545,2.72817637,2.593793684,2.593793684,2.639454404,2.639454404,2.752193033,2.588719923,2.675665422,2.675665422,2.748656273,2.728177103,2.593794377,2.593794377,2.639454404,2.639454404,2.583865692,2.583865692,2.603229218,2.624683478,2.692718585,2.692718585,2.692719304,2.692719304,2.643464262,2.643464262,2.666469123,2.666469123,2.636980105,2.636980105,2.63698081,2.63698081,2.730554905,2.730555614,2.653074592,2.653075322,2.636331254,2.63633196,2.637028997,2.637029702,2.767522488,2.641431014,2.767523188,2.641431719,2.644160876,2.644161609,2.659599029,2.659599728,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0
