Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
1,6.25,0,0,0,93.75,-5.440239464,310.3534,209.12862,211.12674,211.12674,310.3534,305.92527,80.46158,81.0634,81.0634,68.20100733,64.28604733,66.24352733,243.2662522,138.1929046,190.7186064,218.3875617,167.0983111,198.0156418,182.1929998,0.375175863,2.790092594,2.814254707,2.814254707,2.716020481,2.716020481,2.770145304,2.770145304,2.770145304,2.770145304,2.831480915,2.831480915,2.757974956,2.757974956,2.814979368,2.814979368,2.814254013,2.814254013,2.819145252,2.819145252,2.819145252,2.819145252,2.817748343,2.796594612,2.781875228,2.781875228,2.814255427,2.814980075,2.819144546,2.819144546,2.781875931,2.781875931,2.817748343,2.796594612,2.819145258,2.819145258,2.814255427,2.814980075,2.819144546,2.819144546,2.781875931,2.781875931,2.796594612,2.817748343,2.819145258,2.819145258,2.716021188,2.716021188,2.83148163,2.83148163,2.770145304,2.770145304,2.770145304,2.770145304,2.757975653,2.757975653,2.814254707,2.814254707,2.81774905,2.796595324,2.819145252,2.819145252,2.819145252,2.819145252,2.781875931,2.781875931,2.770145298,2.770145298,2.770145997,2.770145997,2.757975653,2.757975653,2.831480915,2.831480915,2.770145298,2.770145298,2.770145997,2.770145997,2.757975653,2.757975653,2.831480915,2.831480915,2.79009118,2.838789806,2.740569107,2.790091899,2.79009118,2.838789806,2.740569107,2.790091899,2.790091899,2.790091899,2.838790514,2.838790514,2.740569814,2.790092594,2.740569814,2.790092594,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,4,4,4,0,4,4,4,4,4,0,4,0,4
2,93.75,0,0,0,6.25,-3.657547148,182.53492,132.50604,128.89158,128.89158,182.53492,181.73209,84.19674,83.99136,83.99136,60.870074,44.44598148,52.65802774,147.4867033,73.7751578,144.3443919,211.9122302,106.4691004,159.0992199,141.1728331,0.340468293,2.648574515,2.578540943,2.578540943,2.578540943,2.578540943,2.598371655,2.598371655,2.598371655,2.598371655,2.556524886,2.556524886,2.556524886,2.556524886,2.53828707,2.53828707,2.53828707,2.53828707,2.584198041,2.584198041,2.584198041,2.584198041,2.584198041,2.584198041,2.584198041,2.584198041,2.618218963,2.578540943,2.57154581,2.57154581,2.611312277,2.611312277,2.57154581,2.57154581,2.611312277,2.611312277,2.618218963,2.578540943,2.57154581,2.57154581,2.611312277,2.611312277,2.57154581,2.57154581,2.611312277,2.611312277,2.618218963,2.618218963,2.616012411,2.637045702,2.616012411,2.637045702,2.616012411,2.637045702,2.616012411,2.637045702,2.578540943,2.578540943,2.598371655,2.598371655,2.556524886,2.556524886,2.556524886,2.556524886,2.598371655,2.598371655,2.57154581,2.57154581,2.611312277,2.611312277,2.57154581,2.57154581,2.611312277,2.611312277,2.57154581,2.57154581,2.611312277,2.611312277,2.57154581,2.57154581,2.611312277,2.611312277,2.550533423,2.563986159,2.563986159,2.550533423,2.550533423,2.563986159,2.563986159,2.550533423,2.648574515,2.648574515,2.550533423,2.550533423,2.550533423,2.648574515,2.550533423,2.648574515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,87.5,0,0,0,12.5,-3.817322446,207.25538,130.65509,127.74463,126.05591,207.47261,207.52075,85.14683,89.27488,91.54701,69.046618,59.24416684,64.14539242,154.5733333,109.4078165,177.097059,223.1085442,143.9707707,188.3978291,169.0516283,0.317722302,2.673105701,2.569343836,2.673106421,2.673106421,2.569343836,2.591281114,2.591281114,2.661812441,2.640841849,2.588432218,2.588432218,2.588432218,2.588432218,2.530493278,2.61960413,2.61960413,2.530493278,2.570969789,2.570969789,2.64944064,2.628371341,2.620404512,2.620404512,2.620404512,2.620404512,2.624106735,2.584091279,2.590257826,2.590257826,2.604463478,2.604463478,2.576101137,2.576101137,2.620404512,2.620404512,2.614887886,2.562453554,2.611730069,2.632932539,2.668216881,2.668216881,2.604462776,2.604462776,2.588432216,2.588432216,2.614887886,2.624106735,2.622309821,2.622309821,2.638884387,2.638884387,2.651305447,2.651305447,2.622309821,2.622309821,2.562453554,2.584091279,2.590257821,2.590257821,2.570969096,2.570969096,2.591281813,2.591281813,2.590257821,2.590257821,2.632932539,2.611730069,2.588432216,2.588432216,2.604462776,2.604462776,2.668216881,2.668216881,2.590257826,2.590257826,2.620404512,2.620404512,2.576101137,2.576101137,2.604463478,2.604463478,2.562453554,2.584091976,2.584091976,2.562453554,2.614930186,2.624149607,2.624149607,2.614930186,2.619604836,2.673105701,2.530493278,2.569343836,2.530493278,2.619604836,2.569343836,2.673105701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,87.5,0,0,0,12.5,-3.804221248,184.17211,139.82046,134.84373,119.76132,203.98884,206.37033,94.2057,80.54279,95.19115,67.32831267,50.58810913,58.9582109,153.7091444,86.15823185,160.2939575,224.7594846,121.4342787,174.8834549,156.8236815,0.329956244,2.555760325,2.560436856,2.573869177,2.560436856,2.573869177,2.636796542,2.636796542,2.640768115,2.640768115,2.5566728,2.5566728,2.5566728,2.5566728,2.531189879,2.52957003,2.531189879,2.52957003,2.640768115,2.640768115,2.637721455,2.637721455,2.562083054,2.562083054,2.562083054,2.562083054,2.696446425,2.650840758,2.5566728,2.5566728,2.669157524,2.669157524,2.64457955,2.64457955,2.634455818,2.634455818,2.582059703,2.555760325,2.562083054,2.562083054,2.64457955,2.64457955,2.59827097,2.59827097,2.628452375,2.628452375,2.696446425,2.582059703,2.623811065,2.645142795,2.744172558,2.764575723,2.613853667,2.635266,2.623811065,2.645142795,2.650840758,2.555760325,2.628452375,2.628452375,2.624538805,2.624538805,2.556458395,2.556458395,2.628452375,2.628452375,2.5566728,2.5566728,2.634455818,2.634455818,2.669157524,2.669157524,2.64457955,2.64457955,2.562083054,2.562083054,2.628452375,2.628452375,2.64457955,2.64457955,2.59827097,2.59827097,2.560436856,2.573869177,2.560436856,2.573869177,2.531189879,2.52957003,2.531189879,2.52957003,2.696404703,2.650840758,2.582016133,2.555760325,2.696404703,2.582016133,2.650840758,2.555760325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
5,81.25,0,0,0,18.75,-3.965676143,207.18243,140.01466,139.79665,139.79665,207.18243,191.67597,85.74262,80.92031,80.92031,61.945506,49.38845587,55.66698094,160.5840833,86.9318719,155.5855318,211.1773266,120.263502,168.4861239,149.7026443,0.344626938,2.597556761,2.738232826,2.673148314,2.691060778,2.547141243,2.66885615,2.66885615,2.606349376,2.606349376,2.654910991,2.63420179,2.58136644,2.58136644,2.691061048,2.547141397,2.675437784,2.581506568,2.61340378,2.61340378,2.562902546,2.562902546,2.620442155,2.620442155,2.605414578,2.605414578,2.673148597,2.547142091,2.668855425,2.668855425,2.654910991,2.63420179,2.581367136,2.581367136,2.606349369,2.606349369,2.738233109,2.691060349,2.606349369,2.606349369,2.634201785,2.654910986,2.581367154,2.581367154,2.668856154,2.668856154,2.547141397,2.691060069,2.654911712,2.634202516,2.60634938,2.60634938,2.668856152,2.668856152,2.581367154,2.581367154,2.581506851,2.675437502,2.620441416,2.620441416,2.562903248,2.562903248,2.613403073,2.613403073,2.605415273,2.605415273,2.613403784,2.613403784,2.562903248,2.562903248,2.620442155,2.620442155,2.605414572,2.605414572,2.562903254,2.562903254,2.613403073,2.613403073,2.620441408,2.620441408,2.605415273,2.605415273,2.720689138,2.627503106,2.627503396,2.597556478,2.662980504,2.659348431,2.659347865,2.590625983,2.662980928,2.720690269,2.659347714,2.627503106,2.659349128,2.590626407,2.627503382,2.597556761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0
6,81.25,0,0,0,18.75,-3.949572591,216.5715,143.73483,122.16905,145.11473,177.59694,215.48193,91.24844,91.42216,73.68746,64.51372933,45.94359722,55.22866328,159.0763989,77.35442375,148.9629589,215.4428867,110.8127768,163.6508239,148.5003749,0.344413988,2.596615528,2.560212333,2.560212333,2.560212333,2.560212333,2.548864796,2.548864796,2.548864796,2.548864796,2.676961006,2.676961006,2.676961006,2.676961006,2.658262368,2.658262368,2.658262368,2.658262368,2.648129148,2.648129148,2.648129148,2.648129148,2.728654917,2.749457066,2.739034667,2.739034667,2.528116934,2.627365002,2.696377288,2.696377288,2.549408113,2.549408113,2.637651163,2.659165313,2.665969128,2.665969128,2.528116934,2.627365002,2.696377288,2.696377288,2.549408113,2.549408113,2.659165313,2.637651163,2.665969128,2.665969128,2.528116934,2.528116934,2.685257191,2.685257191,2.538673524,2.538673524,2.538673524,2.538673524,2.685257191,2.685257191,2.627365002,2.627365002,2.613577161,2.635287855,2.658827641,2.658827641,2.658827641,2.658827641,2.624412092,2.624412092,2.696377288,2.696377288,2.665969128,2.665969128,2.549408113,2.549408113,2.648387606,2.648387606,2.696377288,2.696377288,2.665969128,2.665969128,2.549408113,2.549408113,2.648387606,2.648387606,2.539358369,2.701968327,2.539358369,2.70192669,2.539358369,2.701968327,2.539358369,2.70192669,2.537908271,2.537908271,2.596658853,2.596658853,2.537908271,2.596615528,2.537908271,2.596615528,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,4,0,4,0,4,0,4,0,0,0,0,0,4,0,4
7,81.25,0,0,0,18.75,-3.962878854,190.90871,138.5971,151.62605,136.16012,204.70427,189.27995,86.74499,80.32367,83.79436,60.73991467,42.48166455,51.61078961,159.7399411,69.79969474,140.9229819,213.4078703,102.1956323,156.371102,139.7785633,0.354160287,2.660098081,2.597804725,2.597804725,2.673741569,2.673699493,2.596733464,2.596733464,2.596733464,2.596733464,2.573791454,2.573791454,2.644643385,2.644643385,2.621532174,2.621532174,2.748346968,2.748306034,2.655402404,2.655402404,2.655402404,2.655402404,2.589154283,2.589154283,2.697231448,2.697231448,2.545969248,2.602459836,2.590608402,2.590608402,2.602565731,2.602565731,2.649579581,2.649579581,2.545422728,2.545422728,2.545969248,2.602459836,2.590608402,2.590608402,2.602565731,2.602565731,2.649579581,2.649579581,2.545422728,2.545422728,2.621148802,2.621105881,2.560209795,2.560209795,2.617186332,2.617186332,2.617186332,2.617186332,2.645294548,2.645294548,2.663789315,2.663747082,2.530227729,2.530227729,2.634503209,2.634503209,2.634503209,2.634503209,2.608839622,2.608839622,2.663706071,2.684314052,2.60406716,2.625143363,2.64145105,2.66223131,2.589762574,2.610954249,2.673987842,2.673987842,2.614583471,2.614583471,2.651819111,2.651819111,2.600336736,2.600336736,2.570313126,2.66788564,2.730944695,2.646222895,2.570313126,2.66788564,2.730944695,2.646222895,2.584128852,2.584128852,2.56361226,2.56361226,2.64997336,2.660098081,2.64997336,2.660098081,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,81.25,0,0,0,18.75,-3.94971796,203.55829,146.63448,130.8699,142.275,188.8253,201.21673,83.40219,83.08913,73.67876,59.62207867,45.15496536,52.38852201,159.2398978,77.60011487,145.3862742,205.1094861,109.736492,158.8385384,141.6335077,0.351760866,2.534477725,2.727556273,2.590231657,2.697204475,2.555256682,2.655218098,2.655218098,2.58766811,2.58766811,2.645223358,2.645223358,2.621752919,2.621752919,2.665193073,2.542541343,2.629592022,2.510345522,2.648721867,2.648721867,2.572760525,2.572760525,2.664213552,2.664213552,2.638964755,2.638964755,2.703553853,2.594249172,2.7420746,2.7420746,2.689500577,2.689500577,2.614985469,2.614985469,2.650016996,2.650016996,2.629053542,2.609938492,2.616762946,2.616762946,2.602618781,2.602618781,2.557494075,2.557494075,2.67256592,2.67256592,2.629182802,2.592547582,2.672608308,2.693540916,2.684340538,2.705182364,2.592838419,2.614409794,2.616066148,2.637447552,2.57500398,2.549187155,2.664156146,2.664156146,2.626194098,2.626194098,2.539806391,2.539806391,2.60927122,2.60927122,2.612391174,2.612391174,2.575264856,2.575264856,2.687777461,2.687777461,2.617524916,2.617524916,2.618875975,2.618875975,2.668892932,2.668892932,2.596434613,2.596434613,2.562753424,2.562753424,2.705630949,2.708213686,2.583769948,2.591981316,2.565828091,2.572230031,2.573067636,2.585951868,2.717683666,2.638642448,2.665549523,2.529771077,2.660846618,2.556560545,2.607453302,2.534477725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,81.25,0,0,0,18.75,-3.949710494,203.78568,146.90014,130.80774,142.25837,189.13364,200.87647,83.39861,83.09111,73.68199,59.622978,45.15538525,52.38918163,159.3031433,77.60219412,145.3924686,205.1210827,109.740255,158.8458045,141.6406721,0.351812223,2.703559363,2.585948276,2.573062723,2.572225832,2.56581409,2.572755459,2.572755459,2.587657569,2.587657569,2.618875208,2.618875208,2.61676011,2.61676011,2.591978936,2.583772568,2.708205018,2.705620243,2.648716827,2.648716827,2.655210236,2.655210236,2.612393891,2.612393891,2.752326891,2.731844819,2.534477087,2.556551293,2.638960514,2.638960514,2.562750227,2.562750227,2.617515801,2.617515801,2.609269729,2.609269729,2.607441322,2.660841118,2.621753553,2.621753553,2.596424078,2.596424078,2.687771827,2.687771827,2.626727294,2.626727294,2.52976818,2.638648911,2.668882317,2.668882317,2.539800654,2.539800654,2.603597525,2.603597525,2.672566032,2.672566032,2.665557455,2.717689391,2.575255733,2.575255733,2.626183573,2.626183573,2.694733507,2.694733507,2.660637872,2.63944439,2.664204346,2.664204346,2.664156921,2.664156921,2.557484235,2.557484235,2.604261367,2.625738842,2.645213462,2.645213462,2.683056759,2.683056759,2.602609582,2.602609582,2.699960617,2.679078224,2.5103505,2.629592948,2.542532905,2.665226803,2.555254764,2.697205706,2.590227378,2.727591156,2.549181285,2.59249491,2.57499687,2.629130122,2.60994139,2.594285567,2.629007563,2.703559363,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,4,4,0,0,4,4,0,0,4,4,0,0,0,4,0,0,0,4,0,4,0,4,0,4,0,4
10,75,0,0,0,25,-4.093224842,202.50269,150.23703,140.49237,146.95533,203.95325,207.85594,77.39951,84.99182,78.81314,60.01603733,47.06494439,53.54049086,165.5201489,82.31403323,150.25538,207.2861618,114.9652038,163.3253539,144.988428,0.354007272,2.751785463,2.539434163,2.5308789,2.629377814,2.616163655,2.654203812,2.654203812,2.648092353,2.648092353,2.573232355,2.573232355,2.625834553,2.625834553,2.565560133,2.577632887,2.641614344,2.644020198,2.65882801,2.65882801,2.658323022,2.658323022,2.541622251,2.541622251,2.628226173,2.606594199,2.65363038,2.67351543,2.564492686,2.564492686,2.655631814,2.655631814,2.692419384,2.692419384,2.618996792,2.618996792,2.558772214,2.564203408,2.563549447,2.563549447,2.602866868,2.602866868,2.669478078,2.669478078,2.628377384,2.628377384,2.708654161,2.647417115,2.649919039,2.649919039,2.651741338,2.651741338,2.588539926,2.588539926,2.70601207,2.70601207,2.782744148,2.6612869,2.625418212,2.625418212,2.755315176,2.755315176,2.627238729,2.627238729,2.785547393,2.76514643,2.649292603,2.649292603,2.723280056,2.723280056,2.682001238,2.682001238,2.685213928,2.664044733,2.653624372,2.653624372,2.710062205,2.710062205,2.625903569,2.625903569,2.627764833,2.649223947,2.568744381,2.553720551,2.643366778,2.619907548,2.514530519,2.516140626,2.59799727,2.584281087,2.583327505,2.570839606,2.681320657,2.64629923,2.715954897,2.80262287,2.646333702,2.751785463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,4,4,0,0,4,4,0,0,4,4,4,4,4,4,0,0,0,0,4,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,4,4,4,4
