Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
1,0,0,37.5,62.5,0,-3.551560674,184.31558,141.42481,142.88669,144.90754,183.5682,182.5366,63.23028,63.84006,63.7587,46.24589733,34.11506816,40.18048275,156.5398289,57.88254309,113.8726208,168.0615514,83.74578259,125.6571284,111.0408326,0.38177574,2.837354529,2.866386146,2.849035852,2.884878677,2.868738342,2.845730485,2.845730485,2.830360451,2.830360451,2.839194682,2.839194682,2.851687552,2.851687552,2.84754271,2.82194396,2.866222627,2.852464446,2.848828179,2.848828179,2.829829705,2.829829705,2.846602454,2.846602454,2.881782693,2.860838669,2.846926513,2.820912848,2.85033814,2.85033814,2.864287713,2.864287713,2.843925477,2.843925477,2.830081375,2.830081375,2.831247596,2.814451187,2.83181532,2.83181532,2.829054422,2.829054422,2.817631323,2.817631323,2.815109265,2.815109265,2.861880457,2.849047465,2.834176795,2.834176795,2.859642591,2.859642591,2.847364472,2.847364472,2.848194364,2.848194364,2.847003749,2.825221889,2.814206816,2.814206816,2.83309598,2.83309598,2.814846192,2.814846192,2.851976292,2.830811751,2.857585756,2.857585756,2.835316754,2.835316754,2.853609779,2.853609779,2.839809652,2.818553753,2.87396669,2.87396669,2.852707246,2.852707246,2.848721057,2.848721057,2.812660974,2.833961072,2.863152527,2.872227321,2.853669797,2.87069568,2.811500204,2.83410585,2.86593984,2.876357584,2.871499518,2.824540199,2.830570282,2.777194562,2.86497325,2.822173989,2.877965782,2.837354529,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,2,3,3,3,3,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,3,2,3,2,3,2,3,2,3,3,3,3,3,2,3,2,3
2,0,0,62.5,37.5,0,-3.383361341,176.22011,138.55559,136.41136,136.41136,176.22011,179.2087,51.39506,49.55201,49.55201,38.11785667,31.2576671,34.68776188,150.4895044,57.37672284,101.052799,135.412076,78.75695426,109.1049752,96.6382607,0.392973421,2.904391606,2.822863609,2.882246776,2.882246776,2.9362688,2.877642277,2.877642277,2.907037601,2.907037601,2.877642277,2.877642277,2.907037601,2.907037601,2.882305057,2.934819267,2.824390189,2.882305368,2.860537711,2.881798743,2.85072383,2.872057513,2.85072383,2.872057513,2.86053771,2.881798742,2.882266026,2.93626798,2.863984572,2.863984572,2.863984572,2.863984572,2.894449418,2.894449418,2.894449418,2.894449418,2.824350357,2.88224789,2.911151489,2.911151489,2.848798258,2.848798258,2.911152182,2.911152182,2.848798964,2.848798964,2.934780934,2.882266337,2.871148724,2.871148724,2.861371237,2.861371237,2.871148723,2.871148723,2.861371237,2.861371237,2.88224789,2.822862194,2.907037604,2.907037604,2.907037604,2.907037604,2.877642277,2.877642277,2.877642277,2.877642277,2.848798258,2.848798258,2.911152182,2.911152182,2.911151489,2.911151489,2.848798964,2.848798964,2.894450129,2.894450129,2.863983882,2.863983882,2.894450129,2.894450129,2.863983882,2.863983882,2.904391606,2.853242078,2.905892919,2.859658914,2.905892919,2.853126365,2.910924453,2.853241782,2.853242078,2.859658914,2.910923859,2.905893215,2.853126365,2.905893215,2.853241782,2.904391606,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,2,2,3,3,3,2,2,3,3,2,2,3,2,3,2,3,2,3,2,3
3,0,0,62.5,37.5,0,-3.389404711,176.24714,139.26293,134.80283,138.61805,174.42388,178.38635,48.93172,51.13586,43.36425,36.44460333,29.90461085,33.17460709,150.4916656,55.26106098,96.78527657,129.128477,75.64580181,104.3903501,92.71134554,0.397323942,2.878068911,2.86575188,2.870908809,2.892333807,2.885730707,2.895012948,2.895012948,2.877293991,2.877293991,2.894967566,2.894967566,2.891566623,2.891566623,2.885930094,2.886583579,2.86360601,2.872084724,2.873570381,2.873570381,2.861801755,2.861801755,2.875129452,2.875129452,2.894520669,2.87333759,2.888089414,2.932778801,2.878870019,2.878870019,2.900996664,2.900996664,2.925563924,2.925563924,2.897084723,2.897084723,2.848371089,2.854880777,2.886706727,2.886706727,2.831159672,2.831159672,2.85102639,2.85102639,2.874957495,2.874957495,2.917286905,2.874951075,2.870167015,2.870167015,2.882309434,2.882309434,2.858567773,2.858567773,2.87393576,2.87393576,2.902988754,2.831867413,2.888769992,2.888769992,2.912848514,2.912848514,2.85419942,2.85419942,2.872127577,2.893319516,2.866194221,2.866194221,2.888346452,2.888346452,2.907410243,2.907410243,2.883300016,2.86203389,2.891546066,2.891546066,2.877100613,2.877100613,2.872154766,2.872154766,2.845078395,2.866470316,2.943741777,2.906844701,2.907971162,2.872974514,2.859148698,2.828063174,2.887197583,2.861380269,2.902473746,2.826379306,2.931411628,2.854390896,2.874665956,2.893448293,2.846976817,2.878068911,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2,3,3,2,2,3,3,2,2,2,3,2,2,2,3,2,3,2,3,2,3,2,3
4,0,0,62.5,37.5,0,-3.382547377,170.80524,144.66898,136.01667,136.01667,170.80524,178.84394,50.32906,45.96301,45.96301,35.36782267,26.8266278,31.09722524,150.4287844,47.08419841,89.72242764,128.5160192,67.11813182,98.35807375,87.27755669,0.403301356,2.823477624,2.888535444,2.888535444,2.902167959,2.902167959,2.908382551,2.908382551,2.908382551,2.908382551,2.880007671,2.880007671,2.875340625,2.875340625,2.902167959,2.902167959,2.842822405,2.842822405,2.847580378,2.847580378,2.847580378,2.847580378,2.898317877,2.898317877,2.846534304,2.867853386,2.888535444,2.902167959,2.908382551,2.908382551,2.880007671,2.880007671,2.875340625,2.875340625,2.908382551,2.908382551,2.888535444,2.902167959,2.908382551,2.908382551,2.880007671,2.880007671,2.875340625,2.875340625,2.908382551,2.908382551,2.902167959,2.902167959,2.880007671,2.880007671,2.908382551,2.908382551,2.908382551,2.908382551,2.875340625,2.875340625,2.842822405,2.842822405,2.898317877,2.898317877,2.847580378,2.847580378,2.847580378,2.847580378,2.846534304,2.867853386,2.847580378,2.847580378,2.847580378,2.847580378,2.898317877,2.898317877,2.846534304,2.867853386,2.847580378,2.847580378,2.847580378,2.847580378,2.898317877,2.898317877,2.867853386,2.846534304,2.944319098,2.88451173,2.88451173,2.823477624,2.944319098,2.88451173,2.88451173,2.823477624,2.944319098,2.944319098,2.88451173,2.88451173,2.88451173,2.823477624,2.88451173,2.823477624,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,3,2,2,3,3,2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,2,2,3,3,2,2,3,2,2,2,2,2,3,2,3
5,0,0,62.5,37.5,0,-3.384911899,173.2378,140.38885,139.13907,132.67011,177.21092,177.93328,49.096,42.35314,50.66734,36.168894,29.4527276,32.8108108,150.3086733,54.30672159,95.53275137,127.8961521,74.49980154,103.1225907,91.75597589,0.398258282,2.872236246,2.873496634,2.835204791,2.843208219,2.820787449,2.876641379,2.876641379,2.879215412,2.879215412,2.85913556,2.85913556,2.866620466,2.84520052,2.873495928,2.835205508,2.843207505,2.82078817,2.876640674,2.876640674,2.879216118,2.879216118,2.85913556,2.85913556,2.855891183,2.855891183,2.899399846,2.899399146,2.876158377,2.876158377,2.873574982,2.873574982,2.873574277,2.873574277,2.897822677,2.897822677,2.943922261,2.943922951,2.848546017,2.848546017,2.88254889,2.88254889,2.882549597,2.882549597,2.960241764,2.960241764,2.890641576,2.919032541,2.928389241,2.928389241,2.876561159,2.876561159,2.879335269,2.879335269,2.902848938,2.881698294,2.890640874,2.919033237,2.928389241,2.928389241,2.876560454,2.876560454,2.879335975,2.879335975,2.892254053,2.892254053,2.854815932,2.854815932,2.906545098,2.906545098,2.891034188,2.86979647,2.880395139,2.880395139,2.816798599,2.816798599,2.911606039,2.911606039,2.865155241,2.886427109,2.875772429,2.875772429,2.844273514,2.844272802,2.856962691,2.856922601,2.866573579,2.86657429,2.838775368,2.838736452,2.909389368,2.938970301,2.909388672,2.938970994,2.897661888,2.897622362,2.872274708,2.872236246,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,3,3,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,2,3,3,2,2,2,2,3,3,3,3
6,0,0,62.5,37.5,0,-3.373004609,172.73627,142.61116,135.42841,133.60383,174.69073,179.16757,50.15829,43.1199,44.95403,35.30985533,28.76772856,32.03879195,149.9868189,53.15470549,93.39992135,124.9293179,72.8788069,100.79922,89.72746013,0.400294061,2.870147809,2.853477362,2.906999595,2.788580612,2.838224565,2.845116871,2.845116871,2.856042107,2.856042107,2.901628916,2.901628916,2.838405276,2.838405276,2.877126652,2.937223497,2.835755622,2.875172478,2.876760239,2.876760239,2.928135941,2.928135941,2.912864579,2.912864579,2.860464793,2.860464793,2.960897985,2.962154594,2.88607581,2.88607581,2.854905262,2.854905262,2.891908815,2.891908815,2.951916456,2.951916456,2.891818166,2.897061592,2.926149121,2.926149121,2.864973223,2.864973223,2.894011873,2.894011873,2.905629243,2.905629243,2.84573508,2.790001718,2.963143333,2.963143333,2.879006689,2.879006689,2.84325564,2.84325564,2.855432695,2.855432695,2.909598914,2.855212319,2.916784929,2.916784929,2.915596805,2.915596805,2.868501351,2.868501351,2.86720426,2.86720426,2.848236652,2.848236652,2.871220501,2.871220501,2.852002455,2.852002455,2.898298873,2.898298873,2.836860238,2.858383041,2.867302396,2.888598385,2.854357914,2.875749764,2.879755242,2.900959816,2.85592435,2.911809234,2.815382803,2.869341625,2.863586171,2.944784103,2.789339286,2.87312406,2.910348834,2.906949711,2.934731122,2.90940938,2.832852147,2.864344942,2.871901871,2.870147809,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,2,2,3,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,2,3,2,2,3,2,3,3,2,3,2
7,0,0,62.5,37.5,0,-3.387502921,176.04663,141.97797,132.99616,139.05659,173.34484,177.9318,51.34559,50.68553,48.36096,37.63125267,29.55559335,33.59342301,150.5983011,52.76239331,97.2576201,135.2875488,74.03736304,105.9176223,93.80532953,0.396185937,2.870797818,2.945308982,2.8962772,2.879997945,2.8276372,2.911204713,2.911204713,2.872725816,2.872725816,2.901453853,2.901453853,2.883978613,2.883978613,2.852749743,2.813704066,2.903277918,2.873106565,2.861921718,2.861921718,2.86049629,2.86049629,2.887117804,2.887117804,2.874276872,2.874276872,2.902008714,2.836004885,2.895071395,2.895071395,2.928806096,2.928806096,2.845130349,2.845130349,2.878946495,2.878946495,2.918584053,2.8461258,2.872611299,2.872611299,2.90745104,2.90745104,2.826071237,2.826071237,2.903522242,2.903522242,2.855206883,2.869690893,2.877425224,2.877425224,2.883522016,2.883522016,2.872903841,2.872903841,2.892500258,2.892500258,2.875300334,2.881902252,2.889306689,2.910461878,2.869691773,2.890990501,2.85860511,2.879985829,2.883515173,2.904712543,2.906839519,2.906839519,2.875624909,2.875624909,2.865650925,2.865650925,2.905831072,2.905831072,2.884082898,2.884082898,2.896400842,2.896400842,2.858215929,2.858215929,2.876780395,2.876780395,2.90698462,2.852467636,2.903061482,2.860751841,2.873469229,2.847777383,2.886947563,2.838212147,2.882360537,2.858017021,2.883682068,2.868485115,2.877881889,2.896414668,2.866405948,2.870797818,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,3,3,3,3,2,2,3,3,2,2,2,2,3,3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,3,3,2,2,2,3,3,2,2,3,3,2,2,2,2,2,3,2,3,2
8,0,0,62.5,37.5,0,-3.378401904,170.07278,144.65688,136.57475,133.32351,172.00214,179.28097,49.84678,41.55776,47.0599,34.812938,26.82113639,30.8170372,150.0517967,47.81280504,89.03180583,124.9330297,67.41705788,97.15198797,86.52755093,0.403891464,2.911946433,2.873755426,2.942772764,2.793368959,2.87448804,2.85185259,2.85185259,2.919226344,2.919226344,2.894897503,2.894897503,2.827694777,2.827694777,2.849496389,2.883888935,2.835981068,2.885740185,2.862254885,2.862254885,2.904921058,2.904921058,2.84366871,2.84366871,2.835415948,2.835415948,2.919938152,2.890407532,2.877980127,2.877980127,2.851813873,2.851813873,2.847687057,2.847687057,2.907221953,2.907221953,2.945303631,2.913009696,2.894262557,2.894262557,2.923773924,2.923773924,2.91509875,2.91509875,2.924064342,2.924064342,2.857320429,2.864021282,2.931819807,2.931819807,2.868132649,2.868132649,2.885755433,2.885755433,2.851613679,2.851613679,2.869309186,2.885641595,2.924129208,2.924129208,2.879546024,2.879546024,2.904098309,2.904098309,2.902607125,2.902607125,2.845345628,2.845345628,2.874394832,2.874394832,2.874110463,2.874110463,2.860952437,2.860952437,2.825088479,2.846634788,2.840623802,2.862053159,2.89126238,2.912319153,2.89049152,2.911553868,2.841961582,2.820506092,2.84385602,2.806565668,2.928182082,2.912739738,2.850175632,2.831138967,2.878450598,2.958152908,2.907434633,2.992171111,2.849880688,2.887136861,2.865895891,2.911946433,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2
9,0,0,62.5,37.5,0,-3.388480381,173.96031,139.27238,137.30869,136.78859,174.70214,178.45977,48.26457,44.40665,47.69306,35.65636,29.35603994,32.50619997,150.42906,54.27458858,95.14134812,127.0224078,74.32757675,102.6338177,90.96630043,0.399214619,2.884032451,2.852721424,2.879964561,2.951589118,2.968144889,2.866480721,2.866480721,2.890024532,2.890024532,2.851715554,2.851715554,2.909540049,2.909540049,2.891736943,2.900127275,2.849504498,2.881145912,2.858932497,2.858932497,2.894801326,2.894801326,2.901914063,2.901914063,2.874368328,2.895481339,2.830350199,2.862231153,2.891480991,2.891480991,2.871334904,2.871334904,2.871045269,2.871045269,2.86478348,2.86478348,2.861520146,2.881313459,2.860067435,2.860067435,2.886021918,2.886021918,2.881381998,2.881381998,2.853860243,2.853860243,2.922116367,2.937125579,2.845672248,2.845672248,2.882466637,2.882466637,2.899904676,2.899904676,2.905460478,2.905460478,2.827516588,2.849099728,2.856193644,2.856193644,2.859575255,2.859575255,2.868328803,2.868328803,2.879516082,2.858285145,2.898801913,2.898801913,2.857364287,2.857364287,2.889299525,2.889299525,2.828249128,2.849703849,2.913201854,2.913201854,2.885318975,2.885318975,2.928954752,2.928954752,2.864046437,2.842699966,2.885180351,2.88908217,2.869033679,2.889560443,2.865405099,2.894830271,2.929438912,2.921728004,2.890924879,2.881564178,2.846647879,2.835665093,2.868920336,2.854360982,2.938899444,2.884032451,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,2,2,3,3,2,2,2,3,2,2,3,3,2,2,3,3,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,3,3,3,3,3,2,2,3,3,2,3,2,2,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,3,3,3,2,2,3,3,2,2,3,3,2,3,2,2,3,2,3
10,0,0,62.5,37.5,0,-3.386077927,172.34487,131.63944,144.14059,144.14059,172.34487,170.29132,36.78348,48.56592,48.56592,33.12042667,24.27895863,28.69969265,150.5358111,42.25009203,82.17391888,119.9584573,60.8054227,90.46152813,80.9544175,0.410370809,2.872151125,2.907783185,2.89251061,2.944594678,2.907782153,2.901342514,2.901342514,2.881958908,2.881958908,2.881958909,2.881958909,2.901342515,2.901342515,2.902756775,2.896720098,2.907783375,2.903106398,2.848743759,2.848743759,2.841276027,2.841276027,2.871423533,2.871423533,2.878200725,2.878200725,2.903105884,2.896681261,2.848743759,2.848743759,2.878200728,2.878200728,2.871424248,2.871424248,2.841276027,2.841276027,2.896719584,2.88218506,2.856092834,2.877060509,2.856092827,2.877060503,2.846379524,2.867418228,2.846379525,2.867418229,2.907782473,2.902757292,2.841276027,2.841276027,2.878200728,2.878200728,2.871424249,2.871424249,2.848743769,2.848743769,2.892471907,2.896681261,2.856879578,2.856879578,2.866556597,2.866556597,2.856878865,2.856878865,2.866556588,2.866556588,2.901342515,2.901342515,2.881958908,2.881958908,2.901342514,2.901342514,2.881958909,2.881958909,2.878200735,2.878200735,2.87142425,2.87142425,2.848743055,2.848743055,2.841276736,2.841276736,2.933964245,2.869930757,2.990689937,2.933964056,2.936332518,2.872149711,2.933964577,2.868704526,2.868704339,2.872150936,2.872151125,2.878189764,2.933964959,2.936332327,2.869930241,2.872151125,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
