Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
1,12.5,12.5,12.5,62.5,0,-3.806476254,183.50941,145.65379,149.23306,134.30213,202.4426,199.68714,73.72394,66.60844,78.36925,54.17033733,40.04465964,47.10749849,160.4463456,68.43115392,131.2749844,189.1889487,97.85427109,144.105697,128.7245337,0.366284964,2.662725849,2.85942788,2.7806197,2.762019877,2.678080684,2.797487185,2.797487185,2.7894781,2.7894781,2.862879408,2.862879408,2.768025149,2.768025149,2.946366853,2.841437788,2.761061503,2.699308869,2.798349632,2.798349632,2.762643058,2.762643058,2.834600928,2.834600928,2.64920895,2.64920895,2.771855721,2.803764846,2.833107502,2.833107502,2.767266398,2.767266398,2.799729208,2.799729208,2.679865552,2.679865552,2.730498563,2.80669467,2.849037424,2.849037424,2.786491334,2.786491334,2.794992246,2.794992246,2.831038384,2.810216688,2.668264397,2.578755645,2.696336746,2.696336746,2.87645301,2.87645301,2.73685758,2.758233114,2.604257091,2.604257091,2.651994159,2.655560468,2.808510395,2.808510395,2.786290569,2.786290569,2.72779591,2.7492419,2.636575317,2.636575317,2.773426148,2.773426148,2.639797759,2.639797759,2.738169077,2.738169077,2.773208987,2.773208987,2.640389318,2.640389318,2.609118516,2.631531861,2.776085108,2.776085108,2.860920746,2.860920746,2.862950786,2.778426369,2.776967154,2.691532502,2.965908344,2.861805901,2.754000481,2.678028344,2.710549862,2.778411589,2.728724194,2.817968808,2.651861902,2.647784595,2.630915032,2.662725849,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,2,2,3,1,3,3,3,3,3,3,3,3,2,2,3,1,3,3,3,3,3,3,0,0,1,3,3,3,3,3,3,3,0,0,1,3,3,3,3,3,3,3,3,3,3,1,3,3,0,0,3,3,3,3,3,1,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,3,3,3,3,0,0,3,3,3,0,3,3,3,0,0,3,0,3,3,0,3,0
2,12.5,12.5,12.5,62.5,0,-3.793296044,195.81183,140.28671,142.76378,148.3349,193.57458,191.41899,69.75953,76.24296,72.47447,53.656726,40.73374048,47.19523324,160.3973533,70.04742614,132.8724516,189.5373363,99.63776361,145.5269444,128.9393507,0.366020908,2.713099615,2.837434879,2.850082589,2.772181784,2.763960194,2.752033248,2.752033248,2.748630216,2.748630216,2.783751128,2.783751128,2.791661604,2.791661604,2.697013816,2.708134762,2.852504672,2.849010442,2.735268786,2.735268786,2.755229292,2.755229292,2.731548228,2.731548228,2.846727906,2.826222332,2.730226133,2.655143376,2.748157634,2.748157634,2.772893889,2.772893889,2.705094081,2.705094081,2.670935764,2.670935764,2.820909304,2.673003005,2.768830883,2.768830883,2.819619868,2.819619868,2.694563414,2.694563414,2.695754849,2.695754849,2.69277063,2.746117657,2.727270105,2.727270105,2.785273254,2.785273254,2.829371637,2.829371637,2.721931718,2.721931718,2.726852719,2.814629356,2.719781206,2.719781206,2.656534264,2.656534264,2.723841378,2.723841378,2.747984589,2.726736548,2.829569509,2.829569509,2.780304926,2.780304926,2.700647476,2.700647476,2.734549654,2.755737454,2.798239368,2.798239368,2.764913161,2.764913161,2.75770506,2.75770506,2.79803287,2.777167773,2.73390204,2.738822721,2.817537367,2.810148733,2.784254822,2.756834133,2.847480347,2.842618952,2.742632702,2.768650902,2.609676899,2.675976172,2.807735005,2.706512286,2.84148155,2.713099615,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,0,0,3,3,3,3,0,3,3,2,2,2,3,3,3,3,1,1,0,3,3,2,2,2,3,3,0,0,3,3,3,1,2,2,3,3,0,0,3,3,3,1,3,3,3,3,0,0,3,3,3,2,3,3,3,3,3,3,1,1,3,2,0,0,3,3,3,3,3,3,2,2,3,3,1,1,3,3,3,3,3,3,1,1,3,3,3,0,1,3,3,0,1,3,3,3,3,3,1,3,1,3
3,12.5,12.5,12.5,62.5,0,-3.789569864,193.99604,148.12131,146.13089,152.52276,184.5695,188.68737,67.73329,76.93483,70.03191,50.97186933,34.64529917,42.80858425,162.3114256,56.39818003,118.3481462,186.7121053,84.023622,132.4540919,118.0476522,0.37878482,2.746498915,2.800972022,2.822780044,2.744750207,2.751879726,2.734833287,2.734833287,2.771222889,2.771222889,2.793202254,2.793202254,2.775793434,2.775793434,2.754927955,2.783694234,2.840012057,2.852145899,2.704325507,2.704325507,2.753163352,2.753163352,2.802268193,2.802268193,2.820013421,2.820013421,2.693981346,2.663469055,2.802523396,2.802523396,2.7059882,2.7059882,2.68586097,2.68586097,2.713930923,2.713930923,2.76854181,2.739587522,2.793752478,2.793752478,2.802266692,2.802266692,2.770811465,2.770811465,2.746536092,2.746536092,2.641342906,2.721436711,2.728395827,2.728395827,2.691073572,2.691073572,2.730153673,2.730153673,2.738580841,2.738580841,2.717212499,2.818272188,2.698908358,2.698908358,2.732189378,2.732189378,2.811144661,2.811144661,2.716135292,2.716135292,2.81423943,2.81423943,2.707662855,2.707662855,2.676786599,2.676786599,2.765026519,2.765026519,2.763726632,2.784699822,2.712371308,2.733738523,2.713091945,2.734453529,2.789162409,2.809945755,2.750327641,2.756367023,2.771271002,2.777014578,2.850135692,2.84942006,2.806488723,2.806571949,2.658797796,2.751759557,2.680138419,2.80149866,2.68571411,2.717967233,2.708241375,2.746498915,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,3,3,3,3,3,3,3,3,3,1,1,0,3,3,3,3,3,3,3,3,3,3,3,0,1,3,3,3,3,3,3,3,3,0,1,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,1,1,3,3,3,3,3,3,2,2,3,3,3,3,3,3,1,1,3,3,3,3,2,2,1,1,3,3,3,3,1,3,3,3,1,3,3,2,3,2,1,3,1,3
4,12.5,12.5,62.5,12.5,0,-3.417411808,179.6799,121.03732,137.82599,138.07121,179.46489,165.33591,32.36183,47.66132,48.53463,34.21463467,27.44982516,30.83222991,146.4833044,52.53182933,87.96254331,113.4737902,70.32317614,94.1169481,86.432502,0.401658301,3.003537546,2.936273095,2.968143291,2.739421803,2.77061871,2.804062997,2.804062997,2.839200137,2.839200137,2.905879706,2.905879706,2.767496335,2.767496335,2.885976606,2.831658021,2.967208974,2.977290111,2.820551086,2.820551086,2.792406518,2.792406518,2.795452295,2.816242698,2.823422539,2.823422539,2.9332532,2.829850934,2.896767961,2.896767961,2.855644119,2.855644119,2.850552199,2.830013858,2.907952123,2.907952123,2.932728467,2.834773547,2.760445065,2.760445065,2.794862312,2.794862312,2.74899813,2.770137202,2.773866098,2.773866098,2.742766827,2.718508778,2.836798642,2.836798642,2.711508264,2.711508264,2.74818193,2.74818193,2.743686453,2.743686453,2.973340594,2.938692156,2.777611877,2.79853482,2.933558831,2.933558831,2.869993799,2.869993799,2.834423604,2.834423604,2.750849786,2.750849786,2.706799874,2.706799874,2.731178387,2.731178387,2.860690074,2.860690074,2.894065165,2.894065165,2.828303255,2.828303255,2.743187117,2.743187117,2.918127291,2.918127291,3.016928978,2.969396053,2.812212413,2.781253152,2.821311642,2.785153005,2.962240758,2.93828489,2.869368011,2.714327648,3.119457485,2.852344769,2.64869543,2.85388712,2.841877643,3.003537546,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,0,2,2,2,2,2,2,2,1,1,2,1,0,2,2,2,2,2,3,3,2,2,0,2,2,2,2,2,3,3,2,2,0,2,2,2,2,2,3,3,2,2,0,2,2,2,2,2,2,2,1,1,0,2,3,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,3,1,2,2,3,1,2,2,2,2,2,1,2,1,2
5,12.5,12.5,62.5,12.5,0,-3.422866413,171.66079,127.23959,146.07514,136.87904,167.82779,158.07399,28.87193,32.0942,50.28293,28.07439867,18.89735404,23.48587635,146.4389011,32.70367909,65.12752823,97.2751237,47.58284574,72.05355584,66.88211061,0.42387939,2.869656111,2.936072262,2.817304134,2.7720675,2.701745343,2.767968137,2.767968137,2.712563125,2.712563125,2.840537055,2.840537055,2.796017059,2.796017059,2.881818284,2.772041589,3.046082933,2.879234411,2.969720531,2.969720531,2.859680509,2.859680509,2.786169082,2.786169082,2.863569566,2.863569566,2.841997238,2.803045117,2.870740115,2.870740115,2.860646331,2.860646331,2.865827946,2.865827946,2.80835185,2.80835185,2.877993789,2.844970385,2.813000899,2.813000899,2.777218446,2.777218446,2.799602589,2.799602589,2.821258726,2.821258726,2.722911367,2.769578546,2.855587754,2.855587754,2.809663756,2.809663756,2.815815537,2.815815537,2.792550817,2.792550817,2.938927175,2.977233806,2.795322512,2.795322512,2.835897211,2.835897211,2.841504973,2.841504973,2.841125885,2.841125885,2.81335368,2.81335368,2.796382339,2.796382339,2.749907274,2.749907274,2.906194758,2.906194758,2.788266865,2.809470326,2.843360327,2.864155957,2.729450378,2.751107189,2.900293975,2.920684259,2.804104464,3.007595131,2.760023908,2.904632332,2.729834168,2.888918677,2.75036273,2.95410394,2.894750737,2.795482787,2.905825529,2.816668153,2.828403172,2.841832105,2.835168943,2.869656111,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,0,0,2,2,2,1,2,3,2,2,2,2,2,2,1,1,2,1,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,0,0,2,2,2,2,2,2,3,3,2,2,2,3,2,2,0,0,2,2,1,1,2,3,3,3,0,0,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,1,1,2,2,2,3,1,2,2,3,1,2,0,2,0,2,1,2,1,2
6,12.5,12.5,62.5,12.5,0,-3.414281964,165.70184,131.33269,137.21276,137.72235,162.90608,163.64655,27.69774,35.26497,38.78362,26.08171067,21.43141594,23.7565633,144.9766744,40.63411039,70.18488015,92.64272712,55.24361764,75.50886521,67.57844855,0.422311125,2.8608406,2.5993104,2.860182471,2.837185884,3.055688147,2.685102521,2.685102521,2.903856515,2.903856515,2.682893389,2.682893389,2.884545891,2.884545891,2.687836669,2.913657436,2.773773551,3.010022795,2.753346837,2.753346837,2.99932698,2.99932698,2.807757153,2.807757153,2.896092882,2.896092882,2.679304433,2.748364913,2.726870513,2.726870513,2.712866832,2.712866832,2.731434191,2.731434191,2.773847901,2.79528728,2.785022217,2.895513269,2.787070271,2.787070271,2.948105319,2.948105319,2.946288537,2.946288537,2.808505758,2.808505758,2.895951914,3.022858232,2.75012118,2.75012118,2.758140184,2.779700717,2.919088281,2.919088281,2.997687978,2.997687978,2.826060553,2.946028209,2.767492793,2.767492793,2.758035077,2.779596425,2.879493322,2.879493322,2.835035183,2.835035183,2.914660824,2.914660824,2.89078675,2.870060842,2.780251502,2.780251502,2.802582428,2.802582428,2.860487484,2.860487484,2.848437527,2.848437527,2.874740957,2.874740957,2.874279566,2.874279566,2.569206144,2.698485872,2.800867708,2.962801705,2.835856214,2.998710854,2.831900966,2.982557997,2.70476979,3.009603794,2.672585888,2.878020863,2.902998997,2.832319037,2.97695422,2.8608406,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,0,0,2,2,3,3,2,2,1,2,2,2,1,1,2,2,0,0,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,0,1,1,0,0,2,2,3,3,2,0,2,2,0,0,2,2,2,2,2,2,0,0,3,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,3,2,3,2,2,2,2,2
7,62.5,12.5,12.5,12.5,0,-3.67292741,179.83413,132.13675,134.75116,141.26374,181.42612,178.72713,67.12108,76.79022,72.54919,52.08114667,37.23925494,44.6602008,150.6989644,61.86272153,123.9167096,186.1628526,90.24918942,137.2662151,121.9352775,0.365144752,2.669662913,2.705489624,2.596417168,2.825141154,2.716292614,2.743726533,2.743726533,2.628501231,2.628501231,2.643042141,2.643042141,2.769044264,2.769044264,2.714289605,2.576507938,2.834889137,2.672078073,2.64234483,2.64234483,2.569195477,2.569195477,2.630555221,2.630555221,2.750311656,2.750311656,2.539783755,2.520998715,2.666113555,2.666113555,2.665369533,2.665369533,2.684109086,2.684109086,2.525912144,2.525912144,2.570149264,2.545770552,2.634097773,2.634097773,2.631740437,2.631740437,2.600698798,2.600698798,2.5515652,2.5515652,2.608521613,2.65397991,2.540166706,2.540166706,2.620783264,2.620783264,2.612367581,2.612367581,2.601059864,2.601059864,2.608741375,2.649443391,2.538252877,2.538252877,2.670625779,2.670625779,2.677703161,2.677703161,2.634345835,2.634345835,2.757669544,2.777881299,2.585409486,2.606957117,2.633000561,2.654161855,2.624456418,2.645686053,2.722064333,2.722064333,2.643587243,2.643587243,2.66490567,2.66490567,2.638214958,2.638214958,2.735869756,2.632975709,2.816967783,2.684093351,2.666258894,2.583307908,2.791855683,2.734037779,2.538060326,2.489588861,2.625800327,2.546574761,2.578469628,2.652541449,2.592093832,2.669662913,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,1,1,0,0,3,2,2,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
8,62.5,12.5,12.5,12.5,0,-3.664041131,177.45331,133.15562,138.2371,135.42359,179.90984,175.16537,57.81437,66.45833,65.46614,46.328582,34.69934824,40.51396512,149.57346,59.44524652,114.5353708,165.7320629,85.17829945,125.8422839,111.4768945,0.375783562,2.658085611,2.63508243,2.508596985,2.832227261,2.710769253,2.704971254,2.704971254,2.637402667,2.637402667,2.601681327,2.601681327,2.726009706,2.726009706,2.721384729,2.559546646,2.716834493,2.588010488,2.682069052,2.682069052,2.580435493,2.580435493,2.591095612,2.591095612,2.69100263,2.69100263,2.540105236,2.611637359,2.591448144,2.591448144,2.653390936,2.653390936,2.717640447,2.717640447,2.512508503,2.512508503,2.527685757,2.569055064,2.582004799,2.582004799,2.600080519,2.600080519,2.633650074,2.633650074,2.584217443,2.584217443,2.75122065,2.75003864,2.545713512,2.545713512,2.670611195,2.670611195,2.609794011,2.609794011,2.690734699,2.690734699,2.682135208,2.609391886,2.569913351,2.591668774,2.702857203,2.723550891,2.599013342,2.62052719,2.687169822,2.707983392,2.773304472,2.773304472,2.690356928,2.690356928,2.791335705,2.791335705,2.669106212,2.669106212,2.678377157,2.678377157,2.718821894,2.718821894,2.615049874,2.615049874,2.53343996,2.53343996,2.623354572,2.566986477,2.860134575,2.800984567,2.616162916,2.531267931,2.652358605,2.603581212,2.549546698,2.515365488,2.622739217,2.544367567,2.791849498,2.791436735,2.589721072,2.658085611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,3,3,0,0,0,0,2,2,0,0,2,0,3,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,2,2,2,0,0,0,1,1,1,1,0,0,3,3,1,1,2,2,0,0,0,0,1,1,2,2,0,0,0,0,2,0,0,0,2,0,1,1,1,1,2,0,2,0
9,62.5,12.5,12.5,12.5,0,-3.672584818,183.04915,131.56763,136.88544,133.37523,188.77417,185.30198,68.13305,77.53107,78.8186,55.24967733,42.32776577,48.78872155,151.1979889,72.92794651,136.3423063,191.9906877,103.0253761,148.8949259,132.151865,0.354328017,2.639727102,2.6351035,2.678110303,2.721628705,2.809824046,2.659710691,2.659710691,2.675767234,2.675767234,2.655912326,2.655912326,2.721597093,2.721597093,2.663222987,2.716852888,2.665087876,2.671325014,2.634380011,2.634380011,2.667774068,2.667774068,2.680786658,2.680786658,2.705681426,2.705681426,2.512846569,2.532486806,2.657906352,2.657906352,2.636875079,2.636875079,2.658233944,2.658233944,2.571944958,2.571944958,2.558576557,2.596143821,2.639435272,2.639435272,2.662858305,2.662858305,2.678471342,2.678471342,2.519622598,2.519622598,2.619230229,2.679770994,2.547491141,2.547491141,2.648107173,2.648107173,2.7046514,2.7046514,2.60152915,2.60152915,2.530146827,2.578190092,2.547534688,2.547534688,2.596241064,2.596241064,2.688726115,2.688726115,2.593152252,2.593152252,2.701497378,2.701497378,2.594305768,2.594305768,2.652783445,2.652783445,2.590001357,2.590001357,2.759779501,2.780115824,2.591474612,2.613121077,2.740632908,2.761110255,2.634404748,2.655701315,2.664184416,2.656972134,2.702880818,2.656550537,2.644823101,2.637551866,2.791713844,2.803441063,2.579044663,2.567076645,2.5270694,2.529271966,2.566082823,2.529605553,2.671011897,2.639727102,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,2,0,0,3,3,0,0,1,3,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,3,1,3,0,0,0,0,0,0,0,0,2,2,0,0,3,3,0,0,2,2,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0
10,12.5,62.5,12.5,12.5,0,-4.282269736,221.2243,147.12011,150.63063,150.57022,217.54651,216.13734,78.60037,89.10694,90.86424,65.48678933,53.65137394,59.56908164,172.3944522,96.60106698,167.1144888,220.8507573,131.4343916,179.8419478,160.2497131,0.345074565,2.59814856,2.536000241,2.55426807,2.669078813,2.696070812,2.569823641,2.569823641,2.704980667,2.704980667,2.55595553,2.55595553,2.600264294,2.600264294,2.5648204,2.581895177,2.560231816,2.532991261,2.550242307,2.550242307,2.580967901,2.580967901,2.569717579,2.569717579,2.568935587,2.568935587,2.474517415,2.48151059,2.563097039,2.563097039,2.51010802,2.51010802,2.512324603,2.512324603,2.555336326,2.555336326,2.729066276,2.741928101,2.572642597,2.572642597,2.690360514,2.690360514,2.695827335,2.695827335,2.728044227,2.728044227,2.63121942,2.904113155,2.56410094,2.56410094,2.520900448,2.520900448,2.749544305,2.749544305,2.71462103,2.71462103,2.523580694,2.786556271,2.580929371,2.580929371,2.490835543,2.490835543,2.654032971,2.654032971,2.712982437,2.712982437,2.642727992,2.663399789,2.647767935,2.668400689,2.647127014,2.667764725,2.519972806,2.541643197,2.498094926,2.498094926,2.635629023,2.635629023,2.656235344,2.656235344,2.561076732,2.561076732,2.489996558,2.457432595,2.637009338,2.570871782,2.79519214,2.662905455,2.590800556,2.5030129,2.503637957,2.818182385,2.485694197,2.735702901,2.741910428,2.699985065,2.665276541,2.59814856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,0,0,0,1,1,1,1,3,3,1,2,3,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,0,1,1,1,1,2,2,3,3,3,0,1,1,1,1,2,2,1,1,0,0,1,1,3,3,1,1,1,1,2,2,3,3,1,1,1,1,3,1,1,1,3,1,1,2,1,2,3,1,3,1
