Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,Cohesive_energy,c11,c12,c13,c23,c22,c33,c44,c55,c66,G_V,G_R,G,B,E_100,E_110,E_111,E_113,E_331,E_VRH,nu,avg_r,1 r,2 r,3 r,4 r,5 r,6 r,7 r,8 r,9 r,10 r,11 r,12 r,13 r,14 r,15 r,16 r,17 r,18 r,19 r,20 r,21 r,22 r,23 r,24 r,25 r,26 r,27 r,28 r,29 r,30 r,31 r,32 r,33 r,34 r,35 r,36 r,37 r,38 r,39 r,40 r,41 r,42 r,43 r,44 r,45 r,46 r,47 r,48 r,49 r,50 r,51 r,52 r,53 r,54 r,55 r,56 r,57 r,58 r,59 r,60 r,61 r,62 r,63 r,64 r,65 r,66 r,67 r,68 r,69 r,70 r,71 r,72 r,73 r,74 r,75 r,76 r,77 r,78 r,79 r,80 r,81 r,82 r,83 r,84 r,85 r,86 r,87 r,88 r,89 r,90 r,91 r,92 r,93 r,94 r,95 r,96 r,1 Type 1,2 Type 1,3 Type 1,4 Type 1,5 Type 1,6 Type 1,7 Type 1,8 Type 1,9 Type 1,10 Type 1,11 Type 1,12 Type 1,13 Type 1,14 Type 1,15 Type 1,16 Type 1,17 Type 1,18 Type 1,19 Type 1,20 Type 1,21 Type 1,22 Type 1,23 Type 1,24 Type 1,25 Type 1,26 Type 1,27 Type 1,28 Type 1,29 Type 1,30 Type 1,31 Type 1,32 Type 1,33 Type 1,34 Type 1,35 Type 1,36 Type 1,37 Type 1,38 Type 1,39 Type 1,40 Type 1,41 Type 1,42 Type 1,43 Type 1,44 Type 1,45 Type 1,46 Type 1,47 Type 1,48 Type 1,49 Type 1,50 Type 1,51 Type 1,52 Type 1,53 Type 1,54 Type 1,55 Type 1,56 Type 1,57 Type 1,58 Type 1,59 Type 1,60 Type 1,61 Type 1,62 Type 1,63 Type 1,64 Type 1,65 Type 1,66 Type 1,67 Type 1,68 Type 1,69 Type 1,70 Type 1,71 Type 1,72 Type 1,73 Type 1,74 Type 1,75 Type 1,76 Type 1,77 Type 1,78 Type 1,79 Type 1,80 Type 1,81 Type 1,82 Type 1,83 Type 1,84 Type 1,85 Type 1,86 Type 1,87 Type 1,88 Type 1,89 Type 1,90 Type 1,91 Type 1,92 Type 1,93 Type 1,94 Type 1,95 Type 1,96 Type 1,1 Type 2,2 Type 2,3 Type 2,4 Type 2,5 Type 2,6 Type 2,7 Type 2,8 Type 2,9 Type 2,10 Type 2,11 Type 2,12 Type 2,13 Type 2,14 Type 2,15 Type 2,16 Type 2,17 Type 2,18 Type 2,19 Type 2,20 Type 2,21 Type 2,22 Type 2,23 Type 2,24 Type 2,25 Type 2,26 Type 2,27 Type 2,28 Type 2,29 Type 2,30 Type 2,31 Type 2,32 Type 2,33 Type 2,34 Type 2,35 Type 2,36 Type 2,37 Type 2,38 Type 2,39 Type 2,40 Type 2,41 Type 2,42 Type 2,43 Type 2,44 Type 2,45 Type 2,46 Type 2,47 Type 2,48 Type 2,49 Type 2,50 Type 2,51 Type 2,52 Type 2,53 Type 2,54 Type 2,55 Type 2,56 Type 2,57 Type 2,58 Type 2,59 Type 2,60 Type 2,61 Type 2,62 Type 2,63 Type 2,64 Type 2,65 Type 2,66 Type 2,67 Type 2,68 Type 2,69 Type 2,70 Type 2,71 Type 2,72 Type 2,73 Type 2,74 Type 2,75 Type 2,76 Type 2,77 Type 2,78 Type 2,79 Type 2,80 Type 2,81 Type 2,82 Type 2,83 Type 2,84 Type 2,85 Type 2,86 Type 2,87 Type 2,88 Type 2,89 Type 2,90 Type 2,91 Type 2,92 Type 2,93 Type 2,94 Type 2,95 Type 2,96 Type 2
1,31.25,37.5,31.25,0,0,-3.82730127,186.96476,128.78795,143.36694,139.39535,193.84915,180.02746,41.77209,71.7269,64.2934,45.51122,35.88584734,40.69853367,153.7713167,66.49542451,114.2261592,150.1530094,90.15822339,122.7701334,112.1972178,0.37839386,2.825713097,2.61514477,2.691670988,2.706796968,2.831883585,2.654030806,2.654030806,2.762301915,2.762301915,2.662905995,2.662905995,2.803937066,2.803937066,2.515005919,2.874983801,2.867608534,3.051126848,2.522620453,2.522620453,2.710869539,2.710869539,2.476944394,2.476944394,2.725565439,2.725565439,2.603168097,2.675198565,2.546455042,2.546455042,2.582719421,2.582719421,2.559084773,2.559084773,2.555049039,2.555049039,2.541826615,2.564012639,2.617980248,2.617980248,2.652604935,2.652604935,2.867066473,2.867066473,2.543132143,2.543132143,2.692417625,2.646822465,2.490210208,2.512129053,2.581416872,2.602567688,2.561146504,2.582463342,2.623777551,2.644589597,2.870899995,2.847057005,2.599936944,2.599936944,2.752768057,2.752768057,2.734233984,2.734233984,2.815301998,2.815301998,2.807555522,2.807555522,2.693223398,2.693223398,2.643225028,2.643225028,2.785515265,2.785515265,2.825658893,2.825658893,2.62096207,2.62096207,2.534486816,2.534486816,2.692392513,2.692392513,2.656257183,2.415866325,3.014968966,2.776871648,2.825159802,2.618722485,2.902245115,2.706315514,2.456050851,2.557041418,2.6125188,2.992910652,2.697896631,2.981301775,2.545476421,2.825713097,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,1,0,2,0,1,1,2,2,1,1,0,0,1,0,2,0,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,0,0,1,2,2,2,1,1,1,1,0,0,2,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,2,1,1,0,0,0,0,2,2,2,2,0,0,0,0,2,2,1,1,0,2,1,1,0,2,0,0,0,0,0,2,0,2
2,37.5,25,37.5,0,0,-3.655888072,183.00726,135.83034,132.39947,142.69757,175.52077,186.34841,50.97942,64.71218,50.19899,42.10805533,33.84418388,37.97611961,151.8590222,61.7664917,108.9422634,146.1511943,84.84276359,117.6546257,105.1622175,0.384583504,2.78647006,2.518346826,2.676691459,2.632645395,2.843605024,2.566543083,2.566543083,2.679233222,2.679233222,2.62369222,2.62369222,2.755178315,2.755178315,2.57584961,2.697610284,2.742429765,2.888510705,2.696243637,2.696243637,2.830723846,2.830723846,2.643871973,2.643871973,2.821396554,2.821396554,2.598908479,2.648229283,2.658665035,2.658665035,2.601089333,2.601089333,2.679388342,2.679388342,2.678009566,2.678009566,2.611928085,2.634296643,2.654137594,2.654137594,2.733613188,2.733613188,2.754854516,2.754854516,2.627342867,2.627342867,2.758499099,2.721432241,2.684303142,2.684303142,2.698958963,2.698958963,2.710286345,2.710286345,2.838137616,2.838137616,2.850044836,2.792905892,2.624161569,2.646035533,2.661047839,2.682621051,2.674580207,2.696045138,2.790476294,2.811056394,2.749501939,2.749501939,2.813339775,2.813339775,2.629134855,2.629134855,2.716600561,2.716600561,2.828186652,2.828186652,2.793795091,2.793795091,2.689441935,2.689441935,2.734090812,2.734090812,2.488308604,2.665574768,2.635263622,2.805722755,2.576948074,2.753618957,2.671822159,2.884374059,2.62421566,2.707529728,2.578784637,2.632753439,2.789232603,2.717468411,2.874367449,2.78647006,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,0,0,1,1,2,2,2,2,0,0,2,2,1,1,2,2,0,0,0,0,0,0,2,2,1,1,2,2,1,1,0,0,0,1,1,1,0,0,1,1,2,2,0,1,2,2,0,0,1,1,2,2,2,2,0,0,2,2,2,2,0,0,2,2,1,1,2,2,2,2,0,0,1,1,2,2,0,0,0,0,2,2,2,2,0,0,0,0,0,1,0,0,0,1,0,0,2,2,2,2,0,0,0,0
3,25,37.5,37.5,0,0,-3.790928283,193.03233,127.12214,143.82219,148.44112,190.27734,175.88858,38.87401,68.88496,67.2647,44.32558733,31.94609143,38.13583938,155.3299056,56.76513386,104.8986128,146.2301102,79.74958676,114.2948293,105.7528751,0.386528746,2.964542373,2.567259343,2.71872303,2.780558251,2.926175349,2.625440247,2.625440048,2.775328526,2.775328337,2.690662166,2.690662361,2.881718735,2.881718553,2.838933375,3.008627002,2.676559979,2.892003642,2.583857186,2.583857389,2.707884454,2.707884261,2.686914654,2.686914459,2.59334165,2.614593385,2.526299696,2.749009571,2.745409639,2.745409448,2.601160778,2.60116098,2.65679784,2.656798037,2.593771189,2.593771391,2.523316339,2.775605186,2.71743361,2.717433803,2.596261875,2.596261673,2.841542502,2.841542318,2.538231061,2.538231268,2.74942444,2.742303524,2.501460141,2.50146035,2.543548144,2.543548351,2.616384738,2.616384538,2.675955365,2.675955169,2.733988827,2.72058056,2.736939709,2.736939518,2.763844646,2.763844456,2.766834986,2.766834796,2.701512386,2.721919696,2.700322442,2.700322636,2.703803143,2.703802949,2.623557045,2.623557245,2.655494942,2.676253173,2.812651059,2.812650873,2.68128628,2.681286084,2.642437232,2.642437033,2.767633935,2.747566185,2.868536389,2.608859985,2.823407733,2.655219157,2.829098111,2.704849049,2.947189574,2.751417408,2.490707307,2.510926591,2.772568649,2.87459394,2.576872998,2.882092339,2.654435024,2.964542373,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,0,0,0,1,2,2,1,1,2,2,1,1,0,0,0,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,0,0,2,2,1,1,1,1,0,0,0,0,2,2,2,2,1,1,0,0,1,1,1,1,1,1,0,0,1,1,2,2,0,0,0,0,1,1,1,2,0,1,1,2,0,1,1,0,1,0,0,1,0,1
4,37.5,37.5,25,0,0,-3.875771509,193.886,138.17575,140.82581,139.51085,196.57033,195.77888,63.50442,70.68139,73.92122,52.802926,43.45711096,48.13001848,158.1400033,79.10444886,136.8748466,180.9161993,107.6397638,147.3047954,131.0908579,0.361840927,2.682832118,2.612629679,2.545838974,2.753460131,2.64522827,2.619919165,2.619919785,2.527842775,2.527842133,2.636434833,2.636434217,2.745278479,2.74527907,2.715066625,2.67957338,2.801145141,2.749293602,2.797823069,2.797823649,2.667511998,2.667511389,2.641674368,2.641673753,2.75225139,2.731809105,2.555158761,2.714148962,2.655702353,2.655702965,2.672388854,2.672389462,2.807843102,2.807843681,2.612595324,2.612594702,2.420444486,2.570900357,2.6606576,2.660656989,2.506078104,2.506077456,2.627616384,2.627615766,2.517971257,2.517970612,2.678526689,2.578702771,2.54242357,2.542422931,2.686538818,2.686539422,2.576486879,2.576486248,2.632764747,2.632765364,2.728683356,2.619300982,2.54958265,2.549582013,2.696039965,2.696040567,2.647152282,2.647151668,2.634176758,2.612810837,2.658567778,2.658567167,2.628228854,2.628229472,2.636459353,2.636459969,2.7041675,2.683358929,2.737410115,2.737410708,2.64017941,2.640180025,2.598402757,2.598402132,2.66630887,2.68724947,2.685486992,2.899248007,2.61867047,2.797455106,2.50031483,2.632167369,2.683009963,2.78727783,2.672847495,2.426305018,2.667540455,2.484907285,2.619697411,2.627616017,2.583794301,2.682832118,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,1,0,0,2,2,1,1,0,1,0,2,2,2,0,0,1,1,1,1,0,1,0,2,2,2,0,0,0,0,1,1,1,0,2,2,1,1,0,0,2,2,1,0,0,0,1,1,0,0,1,1,0,2,1,1,2,2,1,1,1,1,0,2,0,0,2,2,1,1,1,1,2,2,2,2,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,1,2,1,1,1,1,1
5,31.25,37.5,31.25,0,0,-3.827389294,187.71262,131.44303,146.52123,142.34258,192.43047,187.96882,46.35348,68.38324,73.00696,47.40240733,37.11658532,42.25949633,156.5250656,67.35385222,119.008792,159.8806108,92.59815403,128.5685051,116.3110565,0.376152896,2.678695151,2.650342327,2.863394348,2.577009397,2.805150824,2.581741376,2.581741376,2.790047374,2.790047374,2.776629666,2.776629666,2.703373009,2.703373009,2.73932392,3.034296189,2.689867881,2.85484802,2.561290505,2.561290505,2.742689202,2.742689202,2.698102451,2.698102451,2.682166645,2.682166645,2.568034688,2.656816763,2.752140659,2.752140659,2.526114095,2.526114095,2.619457286,2.619457286,2.61251094,2.61251094,2.662029713,2.668036163,2.865209395,2.865209395,2.686330537,2.686330537,2.853186574,2.853186574,2.621143819,2.621143819,2.467975786,2.526551385,2.646989663,2.646989663,2.540327916,2.540327916,2.627552937,2.627552937,2.510382652,2.510382652,2.58696508,2.758333371,2.653377453,2.653377453,2.680359799,2.680359799,2.832135733,2.832135733,2.597790313,2.597790313,2.696462347,2.696462347,2.57416831,2.57416831,2.591606837,2.591606837,2.658702435,2.658702435,2.654257251,2.675216431,2.484007482,2.506390745,2.638727973,2.659809526,2.761280231,2.781433069,2.726692781,2.626093809,2.730592447,2.64107104,2.970602632,2.830778136,2.727620596,2.735267437,2.491016331,2.65315844,2.641715903,3.014618175,2.475724163,2.658910954,2.490424555,2.678695151,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,2,0,0,2,2,0,0,0,0,1,2,1,1,0,0,2,2,0,0,1,1,1,2,1,1,0,0,2,2,2,2,2,2,1,0,0,0,0,0,2,2,0,0,1,0,2,2,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,2,2,0,0,0,0,1,1,2,2,2,2,0,0,1,1,2,2,0,2,1,2,0,2,1,2,0,0,0,0,1,2,1,2
6,31.25,37.5,31.25,0,0,-3.822312212,203.19502,132.27714,138.91957,145.35639,186.97755,193.19175,57.71699,73.78636,70.22654,51.466726,41.63841709,46.55257155,157.3856133,75.7529091,131.747797,174.8228742,103.3396352,141.9184481,127.123865,0.365379621,2.618383001,2.785832166,2.690377228,2.711687287,2.616072469,2.785409056,2.785409056,2.676645413,2.676645413,2.735851996,2.735851996,2.626026813,2.626026813,2.514491487,2.510670038,2.637002255,2.611310877,2.590162232,2.590162232,2.534746666,2.534746666,2.581962079,2.581962079,2.683890637,2.683890637,2.966793387,2.629278685,2.55969518,2.55969518,2.719142456,2.719142456,2.555834724,2.555834724,2.735400043,2.735400043,2.803320998,2.582475873,2.640627667,2.640627667,2.717294942,2.717294942,2.591041281,2.591041281,2.765991018,2.745604762,2.769293965,2.662806201,2.755060424,2.755060424,2.723216679,2.723216679,2.615114048,2.636509489,2.641196169,2.641196169,2.780310639,2.698327429,2.688394963,2.688394963,2.644279342,2.644279342,2.603089923,2.581417507,2.803305987,2.803305987,2.690741276,2.690741276,2.772180374,2.772180374,2.800995711,2.800995711,2.651786493,2.651786493,2.661285218,2.661285218,2.68577699,2.706613907,2.611472904,2.611472904,2.519672777,2.519672777,2.707645994,2.471012566,2.889667395,2.682328159,2.778436478,2.536267586,2.660873986,2.492245809,2.65557932,2.749645288,2.696936946,2.747656875,2.860103606,2.794274621,2.614453804,2.618383001,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1,1,0,2,0,1,1,1,1,2,2,1,1,1,0,2,0,1,1,1,1,1,1,0,0,2,2,1,1,2,2,1,1,0,0,2,2,1,1,2,2,1,1,1,1,2,0,2,2,0,0,1,1,1,1,2,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,2,1,1,0,2,1,1,0,0,1,0,1,1,0,1,0
7,31.25,37.5,31.25,0,0,-3.830819471,201.06311,140.91348,135.86099,141.59553,188.82714,200.33372,69.7297,75.47711,64.52824,53.40394133,43.7931254,48.59853337,158.5515522,79.68939377,137.8629262,182.1979768,108.4263714,148.3634946,132.2802749,0.360949248,2.591813887,2.6752858,2.589611737,2.689490598,2.554198637,2.673038372,2.673038983,2.611108562,2.611107937,2.656431417,2.656432031,2.622506151,2.622505529,2.687104015,2.576191208,2.703598806,2.601185802,2.678354844,2.678355453,2.635452945,2.635453564,2.696598873,2.696598268,2.665199369,2.665199981,2.66431942,2.625594062,2.618811392,2.618810768,2.654659701,2.654660316,2.655665373,2.655665988,2.626254025,2.626253404,2.692715509,2.685425414,2.674609751,2.674610362,2.639920071,2.639919453,2.644202653,2.644202035,2.827931666,2.827932243,2.670014984,2.725091321,2.725914119,2.72591352,2.652923562,2.652924177,2.644354739,2.644355356,2.795062355,2.795062939,2.710845445,2.7883421,2.647122996,2.668535815,2.638572035,2.660053689,2.645301171,2.666728618,2.768690464,2.78917015,2.779162404,2.779162992,2.776019844,2.776020433,2.690173808,2.690174415,2.699950373,2.699950978,2.608188519,2.608187893,2.689815965,2.689815358,2.582778231,2.582777598,2.625143163,2.625142541,2.559701842,2.593811232,2.703054423,2.749564736,2.625695275,2.707457288,2.4996666,2.564254032,2.62678773,2.779374027,2.596606985,2.728698616,2.875240142,2.826490856,2.619539508,2.591813887,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,1,2,2,2,2,1,2,2,0,2,2,0,0,1,1,1,1,1,2,2,0,2,2,0,0,1,1,0,0,0,1,2,2,1,1,1,1,2,2,0,1,0,0,1,1,1,1,2,2,2,0,1,1,2,2,2,2,1,1,2,0,1,1,2,2,2,2,0,0,2,2,2,2,1,1,0,0,0,0,2,2,1,1,0,0,1,1,1,0,1,1,1,0,2,2,2,2,1,0,1,0
8,31.25,37.5,31.25,0,0,-3.834091279,195.81024,141.45119,129.00964,138.38962,182.54757,205.37275,56.84325,70.25818,59.63608,49.006176,41.16462771,45.08540185,155.7146067,77.7665353,128.2087824,163.5759076,103.2918361,136.8125455,123.3512222,0.36797297,2.552975885,2.679586696,2.629804789,2.870196501,2.850094475,2.770203129,2.770202795,2.714595487,2.714595827,2.580587019,2.580587377,2.806435838,2.806435508,2.497794622,2.426650271,2.592073361,2.5536952,2.631894126,2.631893775,2.522920073,2.52292044,2.617389757,2.617390111,2.74101482,2.741014482,2.841486575,2.579920637,2.572341756,2.572342115,2.857958552,2.857958228,2.591362891,2.591362534,2.641518704,2.641519054,2.591107634,2.405621338,2.622332538,2.62233289,2.712236196,2.712236537,2.484920887,2.484921259,2.618630629,2.640385475,3.030939728,2.775344529,2.607620186,2.60762054,2.855544693,2.85554437,2.670043827,2.691383124,2.812881893,2.812881564,2.75647488,2.557334086,2.661987113,2.66198746,2.648797374,2.648797025,2.450362435,2.473597612,2.777568289,2.777567956,2.73804675,2.738046412,2.852479355,2.852479031,2.913964195,2.913963878,2.63778462,2.637784269,2.761353778,2.761353443,2.796017402,2.775482702,2.637741173,2.637741524,2.462614574,2.462614949,2.716695183,2.513839094,2.951484978,2.762707457,2.607356897,2.414920769,2.673283936,2.548243467,2.734873803,2.645032471,2.566687829,2.429581616,2.992572498,2.770097825,2.750560797,2.552975885,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,2,1,1,1,1,2,0,0,0,1,1,0,0,2,2,1,1,2,0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,1,1,2,2,2,1,1,1,0,0,1,1,1,1,2,0,0,0,2,2,1,1,2,2,2,0,1,1,2,2,1,1,0,0,0,0,2,2,2,2,0,0,1,1,1,1,2,2,0,0,0,1,2,0,0,1,2,0,2,1,2,1,2,0,2,0
9,37.5,25,37.5,0,0,-3.648041543,188.85458,129.0505,135.30596,146.24863,174.08251,177.27656,45.11782,65.21347,58.76786,42.46040067,31.62592157,37.04316112,151.2693144,55.55772684,104.2293717,147.2204645,78.61587146,113.9039291,102.7428518,0.386799192,2.713039415,2.710358585,2.733112304,2.71611558,2.668838109,2.641219113,2.641219113,2.647327859,2.647327859,2.726532409,2.726532409,2.748392236,2.748392236,2.746788706,2.674331118,2.879227601,2.854713396,2.680951652,2.680951652,2.749100825,2.749100825,2.765311521,2.765311521,2.800793596,2.800793596,2.526661174,2.536991518,2.685484184,2.685484184,2.611301491,2.611301491,2.613280974,2.613280974,2.592189097,2.592189097,2.731297078,2.732560649,2.766130342,2.766130342,2.757630073,2.757630073,2.733887842,2.733887842,2.772275434,2.772275434,2.567402642,2.782882226,2.626072063,2.626072063,2.591380254,2.591380254,2.674231906,2.674231906,2.806545636,2.806545636,2.736385811,2.930665967,2.607903737,2.607903737,2.627462512,2.627462512,2.830674848,2.830674848,2.7354513,2.7354513,2.892036224,2.892036224,2.74421643,2.74421643,2.592615339,2.592615339,2.778519271,2.778519271,2.667695277,2.688957008,2.681536521,2.702689366,2.574923209,2.596944596,2.75205165,2.772666584,2.584018537,2.626250389,2.789858186,2.894789195,2.790776174,2.960583287,2.621056703,2.759460914,2.519911917,2.722016955,2.530523721,2.832780792,2.798725093,2.77334578,2.601327534,2.713039415,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,1,1,2,2,1,2,2,1,2,2,2,2,0,0,0,0,1,2,2,1,2,2,2,2,0,0,2,2,0,0,2,2,0,0,0,0,1,1,0,0,2,2,0,0,0,0,2,2,2,1,0,0,1,1,2,2,0,0,2,1,0,0,1,1,2,2,2,2,2,2,1,1,0,0,2,2,2,2,2,2,0,0,2,2,0,0,0,2,0,0,0,2,1,2,1,2,0,2,0,2
10,37.5,25,37.5,0,0,-3.647905137,188.65337,134.57199,133.4857,133.26577,182.52603,189.15382,53.90277,52.86742,64.79941,44.91457067,38.89265358,41.90361212,151.4422378,74.94077005,120.5588032,151.2481126,98.30429334,128.1201043,115.0953261,0.373334186,2.793147538,2.711830413,2.682178322,2.64411092,2.61018908,2.581974412,2.581974412,2.589151173,2.589151173,2.78577326,2.78577326,2.739211872,2.739211872,2.90660811,2.830753525,2.907499214,2.831109235,2.835960981,2.835960981,2.819625548,2.819625548,2.799776945,2.799776945,2.799382152,2.799382152,2.519544095,2.672849052,2.788731894,2.788731894,2.58152416,2.58152416,2.759079956,2.759079956,2.636370154,2.636370154,2.643768658,2.857560295,2.727385324,2.727385324,2.628424686,2.628424686,2.856701341,2.856701341,2.67347908,2.67347908,2.451086797,2.606550161,2.668085309,2.668085309,2.556436836,2.556436836,2.651105582,2.651105582,2.614773273,2.614773273,2.696676261,2.854618842,2.611260945,2.611260945,2.749650278,2.749650278,2.868231881,2.868231881,2.603630142,2.603630142,2.756214194,2.776865964,2.605752186,2.627586793,2.533097328,2.555552772,2.742977567,2.763728249,2.730084877,2.730084877,2.673829216,2.673829216,2.648405475,2.648405475,2.883414358,2.883414358,2.646965837,2.881567986,2.606392709,2.852683497,2.664500602,2.975782666,2.710317564,3.002592103,2.531650579,2.589313274,2.699749558,2.769779607,2.485329942,2.643290471,2.592198964,2.793147538,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,2,2,0,0,2,2,0,1,1,0,2,2,2,2,0,0,1,1,0,1,1,0,2,2,2,2,2,2,2,2,1,0,2,2,0,0,2,2,0,0,1,0,2,2,0,0,2,2,2,2,1,0,0,0,0,0,2,2,1,1,1,0,2,2,0,0,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,1,1,2,2,0,2,1,2,0,2,1,2,0,2,0,2,1,2,1,2
